personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
1627936,11.0,12.0,5.0,7.0,5.0,0.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14:25,65.0,0.0,20.0,6.0,1.0,2.0,2.0,8.0,21.0,0.381,3.0,10.0,0.3,0022300548,1610612741,Chicago,Bulls,CHI,bulls,Alex,Caruso,A. Caruso,alex-caruso,F,,,0.2,0.8,0.0,0.0,0.818,0.273,0.182,0.273,0.0,0.0,0.0,1.0,0.0,1.0,0.0,127.3,129.0,103.3,105.9,24.0,23.1,0.207,6.0,46.2,0.0,0.14,0.081,7.7,0.9,0.935,0.095,100.39,98.49,82.08,69.0,0.144,3,0,3,0,3,7,9,24,1,1,2,4.54,2.72,0,11,11,56,1,0,48,6,0,0,0.0,3,5,0.6,0.599,2,3,0.667,0.094,0.083,0.273,0.174,0.143,0.111,0.0,0.222,0.194,0.261,0.167,0.4,0.5,0.25,0.091,0.154,0.124
201942,20.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14:47,67.5,0.0,5.0,4.0,2.0,0.0,0.0,2.0,11.0,0.182,1.0,7.0,0.143,0022300548,1610612741,Chicago,Bulls,CHI,bulls,DeMar,DeRozan,D. DeRozan,demar-derozan,F,,,0.737,0.263,0.6,0.4,0.3,0.0,0.1,0.0,0.2,0.5,0.5,1.0,0.0,0.625,0.375,126.9,125.0,116.1,121.7,10.8,3.3,0.16,0.0,16.7,0.0,0.093,0.053,0.0,0.474,0.503,0.263,99.91,98.32,81.94,72.0,0.095,0,2,0,4,5,4,7,28,0,1,2,3.91,2.43,0,5,5,53,2,0,32,4,3,7,0.429,5,12,0.417,0.42,1,1,1.0,0.242,0.302,0.2,0.238,0.143,0.111,0.0,0.143,0.121,0.167,0.0,0.0,0.0,0.0,0.071,0.133,0.222
202696,24.0,12.0,10.0,2.0,2.0,0.0,6.0,13.0,1.0,2.0,3.0,3.0,1.0,4.0,3.0,4.0,13:03,64.1,0.0,9.0,13.0,5.0,0.0,0.0,3.0,19.0,0.158,0.0,2.0,0.0,0022300548,1610612741,Chicago,Bulls,CHI,bulls,Nikola,Vucevic,N. Vucevic,nikola-vucevic,C,,,0.706,0.294,0.667,0.083,0.25,0.0,0.083,0.0,0.583,0.75,0.25,1.0,0.0,0.8,0.2,124.5,124.2,99.3,104.5,25.2,19.7,0.238,5.0,20.8,0.111,0.289,0.222,4.2,0.647,0.655,0.276,104.26,101.7,84.75,66.0,0.228,0,4,0,14,7,7,10,24,0,2,2,3.97,2.22,4,18,21,66,1,0,47,5,6,7,0.857,4,10,0.4,0.587,5,12,0.417,0.323,0.298,0.182,0.227,0.222,0.273,1.0,0.433,0.485,0.217,0.143,0.0,0.5,0.0,0.154,0.182,0.293
203897,10.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14:42,73.9,0.0,21.0,6.0,4.0,0.0,1.0,7.0,9.0,0.778,4.0,5.0,0.8,0022300548,1610612741,Chicago,Bulls,CHI,bulls,Zach,LaVine,Z. LaVine,zach-lavine,G,,,0.375,0.625,0.4,0.4,0.3,0.2,0.3,0.2,0.0,0.5,0.5,1.0,0.0,0.667,0.333,125.5,123.4,104.6,109.2,20.9,14.2,0.212,3.5,36.8,0.0,0.122,0.072,10.5,0.438,0.512,0.149,104.16,102.76,85.63,77.0,0.074,2,0,2,0,7,7,12,28,1,3,3,4.48,2.86,3,10,12,63,0,0,50,7,1,1,1.0,2,7,0.286,0.375,1,2,0.5,0.083,0.118,0.077,0.185,0.3,0.308,0.0,0.176,0.154,0.28,0.286,0.333,0.0,0.5,0.2,0.231,0.105
1629632,15.0,6.0,4.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12:39,67.8,0.0,27.0,2.0,1.0,1.0,0.0,10.0,17.0,0.588,4.0,7.0,0.571,0022300548,1610612741,Chicago,Bulls,CHI,bulls,Coby,White,C. White,coby-white,G,,,0.769,0.231,0.8,0.0,0.0,0.133,0.2,0.0,0.8,0.333,0.667,0.0,0.0,0.333,0.667,111.9,105.7,122.1,123.2,-10.3,-17.5,0.19,0.0,21.1,0.0,0.054,0.029,0.0,0.462,0.508,0.211,101.1,103.51,86.26,70.0,0.071,0,0,2,12,7,4,9,26,1,2,6,4.3,2.44,1,7,8,64,0,0,43,4,4,7,0.571,2,6,0.333,0.462,3,5,0.6,0.222,0.22,0.0,0.136,0.25,0.286,0.0,0.069,0.059,0.235,0.0,0.0,0.167,0.5,0.2,0.462,0.203
1630245,21.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12:15,57.0,0.0,8.0,2.0,5.0,1.0,1.0,2.0,7.0,0.286,0.0,2.0,0.0,0022300548,1610612741,Chicago,Bulls,CHI,bulls,Ayo,Dosunmu,A. Dosunmu,ayo-dosunmu,,,,0.667,0.333,0.476,0.095,0.429,0.19,0.095,0.19,0.381,0.6,0.4,0.667,0.333,0.625,0.375,128.2,127.4,118.0,120.0,10.2,7.4,0.16,2.0,25.0,0.0,0.057,0.033,12.5,1.056,1.063,0.186,100.36,99.8,83.17,62.0,0.14,4,2,4,8,10,7,10,20,0,4,1,4.43,2.32,0,7,7,37,0,0,25,4,4,5,0.8,4,4,1.0,0.889,0,0,0.0,0.242,0.161,0.3,0.158,0.667,0.333,0.0,0.095,0.083,0.174,0.333,0.25,0.0,0.0,0.286,0.1,0.266
1628975,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9:17,49.3,0.0,8.0,1.0,0.0,1.0,0.0,3.0,9.0,0.333,0.0,2.0,0.0,0022300548,1610612741,Chicago,Bulls,CHI,bulls,Jevon,Carter,J. Carter,jevon-carter,,,,0.25,0.75,0.143,0.0,0.857,0.214,0.0,0.429,0.143,1.0,0.0,0.75,0.25,0.8,0.2,102.0,101.9,119.1,115.7,-17.1,-13.8,0.0,0.0,0.0,0.0,0.038,0.019,20.0,0.583,0.583,0.268,102.4,103.94,86.62,52.0,0.027,6,3,3,2,8,7,9,16,0,2,0,4.53,1.9,0,3,3,35,0,0,19,0,0,0,0.0,5,12,0.417,0.416,1,3,0.333,0.25,0.261,0.571,0.45,0.0,0.0,0.0,0.056,0.045,0.0,0.5,0.0,0.0,0.0,0.286,0.0,0.264
203083,7.0,10.0,2.0,8.0,2.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,6:44,33.0,0.0,21.0,6.0,4.0,1.0,1.0,8.0,13.0,0.615,4.0,8.0,0.5,0022300548,1610612741,Chicago,Bulls,CHI,bulls,Andre,Drummond,A. Drummond,andre-drummond,,,,1.0,0.0,0.857,0.0,0.0,0.0,0.143,0.0,0.857,0.667,0.333,0.0,0.0,0.667,0.333,114.4,111.1,144.0,142.4,-29.6,-31.3,0.083,0.0,11.1,0.2,0.429,0.294,0.0,0.429,0.421,0.205,96.28,98.28,81.9,36.0,0.111,0,1,0,6,3,2,4,12,1,2,3,4.06,1.21,6,7,13,24,0,0,15,1,2,5,0.4,1,2,0.5,0.428,0,1,0.0,0.2,0.212,0.0,0.0,0.167,0.333,1.0,0.6,0.714,0.125,0.0,0.5,0.5,0.5,0.4,0.375,0.175
1631207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:04,6.9,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0022300548,1610612741,Chicago,Bulls,CHI,bulls,Dalen,Terry,D. Terry,dalen-terry,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.3,100.0,130.8,128.6,-14.5,-28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.96,115.51,96.26,8.0,-0.067,0,0,0,0,0,0,0,2,0,1,0,5.42,0.3,0,0,0,5,0,0,5,0,0,0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1630577,6.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6:23,31.5,0.0,4.0,5.0,4.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0022300548,1610612759,San Antonio,Spurs,SAS,spurs,Julian,Champagnie,J. Champagnie,julian-champagnie,F,,,0.4,0.6,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,121.2,128.1,139.2,140.6,-18.1,-12.5,0.364,4.0,36.4,0.0,0.357,0.139,9.1,0.3,0.475,0.176,95.08,91.98,76.65,32.0,0.102,0,0,0,0,0,5,2,20,1,1,1,4.9,1.44,2,5,6,37,0,0,31,4,0,2,0.0,1,3,0.333,0.2,1,1,1.0,0.083,0.147,0.143,0.167,0.3,0.273,0.0,0.455,0.294,0.444,1.0,0.0,0.0,0.333,0.2,0.143,0.146
