SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Team,Location,Opponent,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_REB_PCT,personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
22023,1630578,22300679,"JAN 31, 2024",HOU vs. NOP,L,34,4,11,0.364,0,1,0.0,2,2,1.0,2,8,10,5,2,0,2,3,10,-5,1,HOU,vs.,NOP,0.3864602634763964,0.6192374522206682,0.61078812264487,0.7878896253990855,-0.3101217830540071,0.6833102192142901,1630578,10.0,9.0,8.0,1.0,3.0,0.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,14:26,67.3,0.0,34.0,8.0,2.0,5.0,2.0,15.0,24.0,0.625,2.0,4.0,0.5,22300679,1610612745,Houston,Rockets,HOU,rockets,Alperen,Sengun,A. Sengun,alperen-sengun,C,,,0.909,0.091,0.8,0.0,0.0,0.2,0.2,0.0,0.8,0.75,0.25,0.0,0.0,0.75,0.25,104.7,101.4,108.1,111.8,-3.5,-10.3,0.238,2.5,26.3,0.051,0.276,0.147,10.5,0.364,0.421,0.192,98.93,98.84,82.37,70.0,0.108,0,2,2,8,4,9,4,36,0,3,5,3.85,2.3,3,13,16,60,0,0,44,5,3,8,0.375,1,3,0.333,0.363,6,7,0.857,0.16,0.172,0.0,0.029,0.2,0.182,0.4,0.444,0.435,0.357,0.5,0.25,0.0,0.0,0.231,0.313,0.141
22023,1630578,22300662,"JAN 29, 2024",HOU vs. LAL,W,39,14,23,0.609,1,4,0.25,2,4,0.5,3,9,12,7,2,1,4,4,31,15,1,HOU,vs.,LAL,-0.0578168898114298,-0.4605059443489009,0.0755614172344154,-0.2693424598009653,1.0272784063663745,-0.465110317280314,1630578,31.0,14.0,10.0,4.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,14:57,84.2,0.0,26.0,9.0,2.0,2.0,2.0,11.0,27.0,0.407,4.0,6.0,0.667,22300662,1610612745,Houston,Rockets,HOU,rockets,Alperen,Sengun,A. Sengun,alperen-sengun,C,,,0.826,0.174,0.839,0.0,0.097,0.032,0.065,0.129,0.839,0.692,0.308,1.0,0.0,0.714,0.286,129.5,128.1,111.9,112.5,17.6,15.6,0.226,1.75,19.4,0.071,0.22,0.145,11.1,0.63,0.626,0.287,107.26,107.55,89.63,89.0,0.139,4,4,1,26,10,6,11,44,2,4,3,4.12,2.84,9,12,20,83,1,1,54,7,8,12,0.667,6,11,0.545,0.608,9,11,0.818,0.311,0.271,0.091,0.129,0.154,0.25,0.231,0.273,0.261,0.219,0.444,0.25,0.5,0.333,0.333,0.375,0.272
22023,1630578,22300645,"JAN 27, 2024",HOU @ BKN,L,28,6,13,0.462,0,1,0.0,3,4,0.75,5,6,11,2,0,0,3,2,15,-7,1,HOU,@,BKN,-0.5812118923148966,-0.1005914788257112,-0.3337295927853425,-0.2882216041795376,-0.6590087889897539,0.2239420046164484,1630578,15.0,6.0,1.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9:41,58.0,0.0,27.0,6.0,8.0,3.0,0.0,12.0,18.0,0.667,3.0,6.0,0.5,22300645,1610612745,Houston,Rockets,HOU,rockets,Alperen,Sengun,A. Sengun,alperen-sengun,C,,,0.923,0.077,0.8,0.0,0.0,0.0,0.2,0.0,0.8,0.833,0.167,0.0,0.0,0.833,0.167,107.9,111.3,120.8,126.7,-12.8,-15.4,0.118,0.67,10.0,0.147,0.25,0.19,15.0,0.462,0.508,0.247,110.65,106.43,88.69,62.0,0.096,0,5,0,12,15,3,6,28,2,2,6,3.97,1.95,9,7,14,57,0,0,35,2,4,10,0.4,2,3,0.667,0.462,7,9,0.778,0.261,0.232,0.0,0.05,0.188,0.222,0.556,0.316,0.393,0.154,0.333,0.0,0.0,0.4,0.143,0.462,0.217
22023,1630578,22300635,"JAN 26, 2024",HOU @ CHA,W,25,5,7,0.714,0,0,0.0,1,2,0.5,2,4,6,7,0,1,2,2,11,18,1,HOU,@,CHA,-1.7192917233398772,-1.4295064284497985,-1.8449579374736864,-2.081740320143909,-0.7171566233123755,-1.3264257196512672,1630578,11.0,5.0,4.0,1.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,10:33,51.0,0.0,14.0,4.0,0.0,0.0,0.0,5.0,12.0,0.417,0.0,4.0,0.0,22300635,1610612745,Houston,Rockets,HOU,rockets,Alperen,Sengun,A. Sengun,alperen-sengun,C,,,1.0,0.0,0.909,0.0,0.0,0.0,0.091,0.0,0.909,0.6,0.4,0.0,0.0,0.6,0.4,134.5,145.1,101.5,109.8,33.0,35.3,0.35,3.5,41.2,0.091,0.133,0.115,11.8,0.714,0.698,0.169,105.05,97.27,81.06,51.0,0.151,0,2,0,10,6,7,4,24,2,2,1,3.98,1.8,4,12,15,43,0,1,35,7,1,1,1.0,4,5,0.8,0.713,5,8,0.625,0.2,0.159,0.0,0.0,0.05,0.08,0.5,0.211,0.261,0.5,0.5,0.0,0.2,0.5,0.2,0.059,0.149
22023,1630578,22300623,"JAN 24, 2024",HOU vs. POR,L,40,11,17,0.647,1,2,0.5,7,8,0.875,4,6,10,8,1,0,2,5,30,-9,1,HOU,vs.,POR,-1.135036836824379,-2.038592447027506,-0.3966974404806909,-1.6286408550581737,-0.1938261144087555,-0.981899558702886,1630578,30.0,14.0,11.0,3.0,1.0,1.0,10.0,23.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,17:01,76.5,0.0,31.0,6.0,7.0,3.0,1.0,14.0,23.0,0.609,3.0,5.0,0.6,22300623,1610612745,Houston,Rockets,HOU,rockets,Alperen,Sengun,A. Sengun,alperen-sengun,C,,,0.882,0.118,0.667,0.0,0.1,0.067,0.233,0.067,0.667,0.5,0.5,1.0,0.0,0.545,0.455,117.0,117.9,129.0,129.5,-12.0,-11.5,0.32,4.0,25.8,0.111,0.167,0.139,6.5,0.676,0.731,0.278,95.14,94.61,78.84,78.0,0.165,2,4,2,20,4,15,7,38,1,5,6,3.94,2.8,6,13,19,80,0,0,55,8,6,10,0.6,5,7,0.714,0.647,6,13,0.462,0.306,0.239,0.143,0.074,0.538,0.533,1.0,0.286,0.4,0.381,0.4,0.143,0.0,0.25,0.5,0.5,0.326
22023,1630578,22300603,"JAN 21, 2024",HOU vs. BOS,L,36,10,18,0.556,0,2,0.0,4,4,1.0,2,10,12,10,1,0,6,2,24,-12,1,HOU,vs.,BOS,1.6523458509266422,1.4221235676185562,1.177498751902997,1.6940885555705574,-0.6008609546671322,0.9704153533379412,1630578,24.0,7.0,2.0,5.0,1.0,0.0,6.0,13.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,3.0,15:13,79.0,0.0,21.0,10.0,4.0,2.0,1.0,8.0,12.0,0.667,5.0,8.0,0.625,22300603,1610612745,Houston,Rockets,HOU,rockets,Alperen,Sengun,A. Sengun,alperen-sengun,C,,,0.889,0.111,0.833,0.0,0.0,0.167,0.167,0.25,0.833,0.6,0.4,0.0,0.0,0.6,0.4,91.6,95.1,109.0,108.4,-17.4,-13.3,0.476,1.67,27.8,0.044,0.208,0.129,16.7,0.556,0.607,0.279,110.43,108.62,90.51,82.0,0.186,6,4,4,20,10,21,12,36,3,2,2,3.91,2.52,9,14,23,71,0,0,45,10,4,7,0.571,6,11,0.545,0.556,3,4,0.75,0.323,0.243,0.0,0.071,0.4,0.286,0.25,0.323,0.308,0.5,0.462,0.143,0.0,0.375,0.154,0.182,0.308
22023,1630578,22300598,"JAN 20, 2024",HOU vs. UTA,W,42,15,26,0.577,1,1,1.0,6,10,0.6,8,6,14,6,1,1,1,4,37,-8,1,HOU,vs.,UTA,-0.0578168898114298,-0.0729057507085443,-0.8689562981957971,-0.5714087698581227,0.6202435661079978,1.3723625411110525,1630578,37.0,5.0,5.0,0.0,3.0,0.0,5.0,10.0,2.0,0.0,2.0,4.0,3.0,7.0,5.0,7.0,16:07,80.9,0.0,20.0,6.0,4.0,5.0,1.0,8.0,19.0,0.421,2.0,6.0,0.333,22300598,1610612745,Houston,Rockets,HOU,rockets,Alperen,Sengun,A. Sengun,alperen-sengun,C,,,0.962,0.038,0.757,0.0,0.081,0.0,0.162,0.081,0.757,0.5,0.5,1.0,0.0,0.533,0.467,110.9,111.6,116.8,120.9,-5.9,-9.3,0.24,6.0,16.2,0.151,0.128,0.14,2.7,0.596,0.609,0.308,101.06,98.97,82.47,86.0,0.193,3,12,0,28,7,15,10,54,2,4,10,3.93,2.9,14,16,30,80,0,0,44,6,11,20,0.55,4,6,0.667,0.576,6,13,0.462,0.375,0.292,0.143,0.034,0.667,0.667,0.571,0.261,0.378,0.273,0.2,0.125,0.25,0.5,0.235,0.588,0.385
22023,1630578,22300573,"JAN 17, 2024",HOU @ NYK,L,40,7,16,0.438,0,1,0.0,4,7,0.571,3,7,10,5,1,4,3,3,18,-16,1,HOU,@,NYK,0.8915973007762544,0.5638659959863304,0.7682077418832388,0.8445270585348025,-1.2404871322160038,1.8317307557088944,1630578,18.0,8.0,7.0,1.0,3.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,16:53,78.1,0.0,13.0,7.0,7.0,4.0,1.0,5.0,13.0,0.385,0.0,2.0,0.0,22300573,1610612745,Houston,Rockets,HOU,rockets,Alperen,Sengun,A. Sengun,alperen-sengun,C,,,0.938,0.063,0.778,0.0,0.0,0.0,0.222,0.111,0.778,0.857,0.143,0.0,0.0,0.857,0.143,98.2,100.0,117.6,121.5,-19.5,-21.5,0.217,1.67,18.5,0.073,0.2,0.132,11.1,0.438,0.472,0.251,98.34,95.88,79.9,80.0,0.1,2,0,0,14,12,10,9,38,2,3,7,3.78,2.69,8,13,20,57,0,0,32,5,7,13,0.538,0,3,0.0,0.438,4,10,0.4,0.233,0.229,0.0,0.038,0.286,0.412,0.5,0.292,0.333,0.25,0.3,0.167,0.5,0.5,0.231,0.438,0.225
22023,1630578,22300555,"JAN 15, 2024",HOU @ PHI,L,30,7,15,0.467,1,1,1.0,4,6,0.667,5,4,9,6,1,2,5,1,19,-4,1,HOU,@,PHI,0.7942214863570046,0.923780461509524,0.7367238180355624,1.0710767910776704,-0.1356782800861255,-0.2928472368061234,1630578,19.0,15.0,12.0,3.0,4.0,1.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12:10,57.9,0.0,25.0,4.0,5.0,2.0,1.0,12.0,25.0,0.48,1.0,3.0,0.333,22300555,1610612745,Houston,Rockets,HOU,rockets,Alperen,Sengun,A. Sengun,alperen-sengun,C,,,0.933,0.067,0.632,0.0,0.158,0.0,0.211,0.158,0.632,0.667,0.333,1.0,0.0,0.714,0.286,115.3,118.3,124.3,129.3,-8.9,-11.0,0.333,1.2,20.7,0.147,0.133,0.141,17.2,0.5,0.539,0.321,97.04,93.92,78.27,60.0,0.137,3,1,0,12,8,9,7,24,0,1,5,3.83,2.03,7,9,15,62,0,0,38,6,3,6,0.5,4,9,0.444,0.467,3,6,0.5,0.28,0.288,0.143,0.059,0.286,0.25,0.5,0.2,0.3,0.375,0.556,0.333,0.5,0.0,0.091,0.278,0.268
22023,1630578,22300542,"JAN 13, 2024",HOU @ BOS,L,24,8,17,0.471,0,2,0.0,3,3,1.0,2,8,10,3,4,0,3,3,19,-14,1,HOU,@,BOS,1.6523458509266422,1.4221235676185562,1.177498751902997,1.6940885555705574,-0.6008609546671322,0.9704153533379412,1630578,19.0,4.0,2.0,2.0,3.0,0.0,6.0,15.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,4.0,9:20,54.0,0.0,15.0,8.0,3.0,2.0,4.0,6.0,11.0,0.545,1.0,4.0,0.25,22300542,1610612745,Houston,Rockets,HOU,rockets,Alperen,Sengun,A. Sengun,alperen-sengun,C,,,0.882,0.118,0.842,0.211,0.0,0.0,0.158,0.105,0.632,0.625,0.375,0.0,0.0,0.625,0.375,100.1,103.6,128.3,131.5,-28.2,-27.8,0.214,1.0,12.5,0.065,0.381,0.192,12.5,0.471,0.519,0.339,110.4,107.14,89.28,55.0,0.166,2,2,0,12,5,5,11,14,2,3,3,4.07,1.76,7,11,16,61,0,0,40,3,5,9,0.556,3,8,0.375,0.47,3,4,0.75,0.364,0.321,0.0,0.125,0.333,0.333,0.4,0.444,0.435,0.25,0.6,0.667,0.0,0.4,0.231,0.333,0.333
