SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Team,Location,Opponent,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_REB_PCT,personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
22023,1641709,22300642,"JAN 27, 2024",DET vs. WAS,L,17,4,6,0.667,0,2,0.0,0,0,0.0,2,0,2,0,1,2,1,0,8,-18,1,DET,vs.,WAS,-1.851922180460192,-0.8863869617847762,-1.3734520438543436,-1.412841181784331,2.094141215976716,-2.8805146351331232,1641709,8.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6:03,38.6,0.0,8.0,0.0,0.0,1.0,1.0,4.0,8.0,0.5,0.0,2.0,0.0,22300642,1610612765,Detroit,Pistons,DET,pistons,Ausar,Thompson,A. Thompson,ausar-thompson,,,,0.667,0.333,1.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,0.75,0.0,0.0,0.25,0.75,72.9,75.0,121.8,120.0,-48.9,-45.0,0.0,0.0,0.0,0.091,0.0,0.051,14.3,0.667,0.667,0.159,112.45,111.67,93.06,40.0,0.15,2,6,0,8,10,6,14,22,0,0,1,4.55,1.42,3,2,5,19,0,0,12,0,2,2,1.0,2,4,0.5,0.667,1,2,0.5,0.4,0.188,0.0,0.167,0.0,0.0,0.667,0.0,0.182,0.0,0.167,1.0,0.4,0.0,0.0,0.1,0.267
22023,1641709,22300619,"JAN 24, 2024",DET vs. CHA,W,27,3,4,0.75,0,1,0.0,1,2,0.5,0,2,2,1,2,0,2,4,7,3,1,DET,vs.,CHA,-1.6932034351839644,-1.43410290109566,-1.8544274677722072,-2.0973941097013684,-0.6724306656805793,-1.3239990551078864,1641709,7.0,8.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10:41,54.5,0.0,10.0,2.0,2.0,2.0,2.0,4.0,12.0,0.333,2.0,5.0,0.4,22300619,1610612765,Detroit,Pistons,DET,pistons,Ausar,Thompson,A. Thompson,ausar-thompson,,,,0.75,0.25,0.857,0.0,0.0,0.286,0.143,0.286,0.857,0.667,0.333,0.0,0.0,0.667,0.333,96.8,98.1,90.3,89.1,6.5,9.0,0.067,0.5,14.3,0.0,0.077,0.034,28.6,0.75,0.717,0.106,96.82,96.82,80.69,53.0,0.052,2,0,2,6,6,3,6,14,0,4,5,4.26,2.04,2,3,5,17,0,0,10,1,1,1,1.0,2,3,0.667,0.75,0,2,0.0,0.167,0.087,0.0,0.038,0.125,0.154,0.0,0.095,0.083,0.083,0.4,0.667,0.0,0.0,0.4,0.333,0.135
22023,1641709,22300606,"JAN 22, 2024",DET vs. MIL,L,19,0,1,0.0,0,0,0.0,0,2,0.0,1,4,5,1,0,0,0,2,0,11,1,DET,vs.,MIL,1.1087928756540582,1.4687915772520277,-0.3153061112350443,0.8309711930548487,1.5177720739647789,0.1748677997312336,1641709,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7:01,40.1,0.0,8.0,4.0,3.0,0.0,0.0,2.0,7.0,0.286,0.0,3.0,0.0,22300606,1610612765,Detroit,Pistons,DET,pistons,Ausar,Thompson,A. Thompson,ausar-thompson,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.7,125.6,91.1,92.7,31.7,33.0,0.063,0.0,33.3,0.063,0.16,0.122,0.0,0.0,0.0,0.047,103.4,101.32,84.43,39.0,0.007,0,0,0,0,4,5,1,12,0,2,1,4.37,1.5,3,7,10,19,0,0,15,1,0,1,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.032,0.0,0.0,0.0,0.111,0.333,0.25,0.263,0.091,0.0,0.0,0.0,0.0,0.2,0.077,0.0
22023,1641709,22300592,"JAN 20, 2024",DET vs. MIL,L,32,10,15,0.667,2,2,1.0,0,0,0.0,5,4,9,1,0,1,1,4,22,6,1,DET,vs.,MIL,1.1087928756540582,1.4687915772520277,-0.3153061112350443,0.8309711930548487,1.5177720739647789,0.1748677997312336,1641709,22.0,6.0,3.0,3.0,1.0,0.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,12:01,70.6,0.0,24.0,4.0,6.0,2.0,0.0,9.0,14.0,0.643,2.0,5.0,0.4,22300592,1610612765,Detroit,Pistons,DET,pistons,Ausar,Thompson,A. Thompson,ausar-thompson,,,,0.867,0.133,0.727,0.091,0.273,0.0,0.0,0.227,0.636,0.5,0.5,1.0,0.0,0.6,0.4,148.3,145.7,134.0,133.3,14.3,12.4,0.042,1.0,5.9,0.172,0.148,0.161,5.9,0.733,0.733,0.211,105.14,106.31,88.59,70.0,0.104,5,6,0,14,7,3,9,44,0,4,0,4.35,2.52,7,6,13,36,0,0,18,1,4,7,0.571,6,8,0.75,0.667,2,2,1.0,0.294,0.246,0.125,0.074,0.0,0.0,0.714,0.222,0.36,0.045,0.167,0.0,0.5,0.0,0.222,0.0,0.216
22023,1641709,22300569,"JAN 17, 2024",DET vs. MIN,L,22,3,6,0.5,0,2,0.0,1,5,0.2,3,6,9,1,0,1,0,0,7,-6,1,DET,vs.,MIN,1.2369887853002417,-0.1743562406806246,2.0895710083542745,1.1162015796869478,-0.8453414082841587,1.0972474027091537,1641709,7.0,9.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8:54,48.0,0.0,11.0,6.0,5.0,1.0,0.0,5.0,12.0,0.417,1.0,4.0,0.25,22300569,1610612765,Detroit,Pistons,DET,pistons,Ausar,Thompson,A. Thompson,ausar-thompson,,,,0.667,0.333,0.857,0.0,0.0,0.143,0.143,0.0,0.857,0.667,0.333,0.0,0.0,0.667,0.333,112.9,113.3,117.8,114.0,-4.8,-0.7,0.071,0.0,11.1,0.143,0.286,0.214,0.0,0.5,0.427,0.163,102.3,103.87,86.56,45.0,0.089,0,2,1,6,5,2,4,30,1,0,3,4.45,1.74,6,6,11,24,0,0,16,1,3,4,0.75,0,2,0.0,0.5,4,5,0.8,0.176,0.167,0.0,0.118,0.1,0.357,0.75,0.429,0.5,0.091,0.0,0.0,0.25,0.5,0.0,0.375,0.137
22023,1641709,22300558,"JAN 15, 2024",DET @ WAS,W,27,6,8,0.75,0,1,0.0,2,3,0.667,1,7,8,2,3,0,0,2,14,9,1,DET,@,WAS,-1.851922180460192,-0.8863869617847762,-1.3734520438543436,-1.412841181784331,2.094141215976716,-2.8805146351331232,1641709,14.0,7.0,4.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9:49,53.0,0.0,26.0,7.0,2.0,1.0,3.0,11.0,15.0,0.733,3.0,5.0,0.6,22300558,1610612765,Detroit,Pistons,DET,pistons,Ausar,Thompson,A. Thompson,ausar-thompson,,,,0.875,0.125,0.857,0.0,0.0,0.143,0.143,0.143,0.857,0.5,0.5,0.0,0.0,0.5,0.5,127.2,133.3,113.0,116.7,14.2,16.7,0.087,0.0,18.2,0.048,0.25,0.163,0.0,0.75,0.751,0.142,99.2,95.35,79.46,54.0,0.159,2,2,2,12,13,8,12,24,0,2,2,4.41,2.15,1,9,10,35,0,0,23,2,5,6,0.833,1,2,0.5,0.75,5,5,1.0,0.207,0.167,0.0,0.1,0.182,0.2,0.143,0.318,0.276,0.154,0.0,1.0,0.0,0.0,0.4,0.154,0.194
22023,1641709,22300534,"JAN 12, 2024",DET vs. HOU,L,18,2,3,0.667,0,1,0.0,0,0,0.0,2,6,8,0,0,0,1,2,4,5,1,DET,vs.,HOU,-0.1304342509257211,-0.5303716012327023,1.031425075734975,0.2414950606818439,-0.2113353520710314,0.4631114256618336,1641709,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7:10,38.2,0.0,5.0,6.0,1.0,1.0,0.0,2.0,7.0,0.286,0.0,1.0,0.0,22300534,1610612765,Detroit,Pistons,DET,pistons,Ausar,Thompson,A. Thompson,ausar-thompson,,,,0.667,0.333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,110.2,105.1,95.7,94.7,14.5,10.4,0.0,0.0,0.0,0.105,0.273,0.195,25.0,0.667,0.667,0.093,98.24,101.13,84.28,39.0,0.117,0,0,0,4,8,7,3,14,0,2,1,4.42,1.45,3,11,14,21,0,0,14,0,2,2,1.0,0,1,0.0,0.667,1,2,0.5,0.125,0.088,0.0,0.063,0.0,0.0,0.333,0.5,0.444,0.0,0.143,0.0,0.0,0.0,0.2,0.167,0.098
22023,1641709,22300519,"JAN 10, 2024",DET vs. SAS,L,15,1,6,0.167,0,3,0.0,1,1,1.0,0,6,6,1,0,1,1,4,3,-10,1,DET,vs.,SAS,-1.7481445393180433,-1.43410290109566,-1.0207367329812451,-1.6029947728723968,1.40249824556239,-1.0357554291772864,1641709,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6:09,28.8,0.0,13.0,6.0,1.0,0.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,22300519,1610612765,Detroit,Pistons,DET,pistons,Ausar,Thompson,A. Thompson,ausar-thompson,,,,0.5,0.5,0.667,0.0,0.0,0.0,0.333,0.0,0.667,0.0,1.0,0.0,0.0,0.0,1.0,99.4,106.5,149.7,143.3,-50.3,-36.9,0.083,1.0,12.5,0.0,0.429,0.194,12.5,0.167,0.233,0.199,98.85,97.38,81.15,31.0,0.007,0,0,0,2,10,7,6,18,1,4,2,4.56,1.23,5,6,9,23,1,0,16,1,1,4,0.25,0,2,0.0,0.167,2,2,1.0,0.077,0.207,0.0,0.3,0.25,0.2,0.0,0.6,0.5,0.1,0.25,0.0,1.0,0.333,0.571,0.333,0.091
22023,1641709,22300512,"JAN 09, 2024",DET vs. SAC,L,14,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,3,0,0,3,0,-2,1,DET,vs.,SAC,0.614322938447348,0.3185881046991702,-0.3473711394962334,0.0323261104849712,0.2497599615385163,0.2901652501034736,1641709,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:57,28.2,0.0,3.0,2.0,2.0,1.0,3.0,1.0,5.0,0.2,0.0,1.0,0.0,22300512,1610612765,Detroit,Pistons,DET,pistons,Ausar,Thompson,A. Thompson,ausar-thompson,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.2,103.4,100.8,110.3,4.4,-6.9,0.0,0.0,0.0,0.0,0.133,0.071,0.0,0.0,0.0,0.068,107.03,102.98,85.82,29.0,0.0,0,0,0,0,2,3,5,18,1,3,1,4.4,1.07,2,3,5,19,0,0,15,0,0,2,0.0,0,0,0.0,0.0,2,2,1.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.25,0.222,0.0,0.0,0.75,0.0,0.5,0.6,0.125,0.0
22023,1641709,22300502,"JAN 07, 2024",DET @ DEN,L,20,2,5,0.4,0,1,0.0,1,2,0.5,3,2,5,4,0,0,1,2,5,0,1,DET,@,DEN,1.151524845536119,0.7019892622167867,0.2939294257275849,0.6598329610755892,-1.4217105502960954,0.8090037767785537,1641709,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,8:50,41.9,0.0,10.0,2.0,2.0,1.0,0.0,3.0,9.0,0.333,1.0,3.0,0.333,22300502,1610612765,Detroit,Pistons,DET,pistons,Ausar,Thompson,A. Thompson,ausar-thompson,,,,0.8,0.2,0.8,0.4,0.0,0.2,0.2,0.4,0.4,0.0,1.0,0.0,0.0,0.0,1.0,126.4,123.3,121.2,120.5,5.2,2.8,0.25,4.0,36.4,0.12,0.111,0.116,9.1,0.4,0.425,0.143,101.58,103.2,86.0,43.0,0.06,2,2,1,2,4,7,7,16,0,2,3,4.07,1.49,5,2,6,17,0,0,11,4,2,3,0.667,0,2,0.0,0.4,0,1,0.0,0.111,0.132,0.0,0.1,0.077,0.111,0.429,0.182,0.278,0.364,0.333,0.0,0.0,0.0,0.286,0.231,0.094
