SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Team,Location,Opponent,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_REB_PCT,personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
22023,1630527,22300676,"JAN 31, 2024",LAC @ WAS,W,27,5,11,0.455,1,2,0.5,1,2,0.5,1,2,3,1,1,1,0,2,12,1,1,LAC,@,WAS,-1.8775274217711573,-0.9311633223407662,-1.37269907975858,-1.4587285556510223,2.073939424173622,-2.8767934439189795,1630527,12.0,4.0,3.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11:00,57.0,0.0,11.0,2.0,6.0,2.0,1.0,4.0,13.0,0.308,1.0,4.0,0.25,22300676,1610612746,LA,Clippers,LAC,clippers,Brandon,Boston Jr.,B. Boston Jr.,brandon-boston-jr,,,,0.818,0.182,0.667,0.0,0.25,0.167,0.083,0.167,0.667,1.0,0.0,1.0,0.0,1.0,0.0,112.0,112.3,103.6,110.5,8.4,1.8,0.053,0.0,7.7,0.029,0.057,0.043,0.0,0.5,0.505,0.181,104.31,100.77,83.98,57.0,0.075,2,0,2,8,8,10,6,40,1,2,1,4.27,2.11,1,5,6,20,0,0,9,1,2,5,0.4,3,6,0.5,0.455,1,2,0.5,0.208,0.196,0.2,0.111,0.091,0.143,0.111,0.105,0.107,0.071,0.0,0.25,0.167,0.25,0.182,0.1,0.188
22023,1630527,22300658,"JAN 29, 2024",LAC @ CLE,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,LAC,@,CLE,0.8794253239738482,0.1485800742288029,1.429370142684386,0.9578019248062364,-0.6008609546671322,0.9704153533379412,1630527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:12,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22300658,1610612746,LA,Clippers,LAC,clippers,Brandon,Boston Jr.,B. Boston Jr.,brandon-boston-jr,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.58,89.16,74.3,1.0,0.0,0,0,0,0,2,0,0,2,0,0,0,2.79,0.03,0,0,0,2,0,0,1,0,0,0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22023,1630527,22300646,"JAN 27, 2024",LAC @ BOS,W,10,1,5,0.2,1,1,1.0,0,0,0.0,2,0,2,0,0,1,0,1,3,-16,1,LAC,@,BOS,1.6523458509266422,1.4221235676185562,1.177498751902997,1.6940885555705574,-0.6008609546671322,0.9704153533379412,1630527,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3:42,18.9,0.0,6.0,0.0,2.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,22300646,1610612746,LA,Clippers,LAC,clippers,Brandon,Boston Jr.,B. Boston Jr.,brandon-boston-jr,,,,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,80.0,80.0,158.4,160.0,-78.4,-80.0,0.0,0.0,0.0,0.125,0.0,0.08,0.0,0.3,0.3,0.2,92.33,91.87,76.56,20.0,-0.011,0,0,0,0,3,8,10,20,2,1,0,4.29,0.8,4,2,6,18,0,0,12,0,0,3,0.0,1,2,0.5,0.2,1,2,0.5,0.143,0.217,0.5,0.077,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,1.0,0.667,0.143,0.0,0.188
22023,1630527,22300637,"JAN 26, 2024",LAC @ TOR,W,2,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,4,1,LAC,@,TOR,-0.8368234051654271,-0.1005914788257112,-0.3966974404806909,-0.30710074855811,-0.1938261144087555,-0.0631631295072025,1630527,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:33,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22300637,1610612746,LA,Clippers,LAC,clippers,Brandon,Boston Jr.,B. Boston Jr.,brandon-boston-jr,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,200.0,133.3,0.0,0.0,200.0,133.3,0.0,0.0,0.0,0.5,0.0,0.2,0.0,1.0,1.0,0.25,77.42,92.9,77.42,3.0,5.0,2,0,0,2,0,0,0,0,0,0,0,3.68,0.11,1,0,1,3,0,0,2,0,1,1,1.0,0,0,0.0,1.0,0,0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
22023,1630527,22300537,"JAN 12, 2024",LAC @ MEM,W,4,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-11,1,LAC,@,MEM,-0.7090176487401618,-2.177021087613349,0.7682077418832388,-1.0245082349438586,-0.0775304457635038,-1.1541626391770765,1630527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:21,7.1,0.0,8.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,0.5,22300537,1610612746,LA,Clippers,LAC,clippers,Brandon,Boston Jr.,B. Boston Jr.,brandon-boston-jr,,,,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,57.1,177.7,214.3,-111.1,-157.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,82.19,79.68,66.4,7.0,-0.27,0,0,0,0,0,6,5,8,0,2,0,3.69,0.28,0,0,0,8,0,0,5,0,0,0,0.0,0,3,0.0,0.0,2,2,1.0,0.0,0.333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22023,1630527,22300511,"JAN 08, 2024",LAC vs. PHX,W,5,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,2,5,2,1,LAC,vs.,PHX,0.5081800315004585,0.646923180337839,0.1070453410820873,0.5047024597205004,-0.5427131203445023,0.9704153533379412,1630527,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1:44,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22300511,1610612746,LA,Clippers,LAC,clippers,Brandon,Boston Jr.,B. Boston Jr.,brandon-boston-jr,,,,0.5,0.5,0.4,0.0,0.6,0.4,0.0,0.4,0.4,1.0,0.0,0.0,1.0,0.5,0.5,165.0,130.0,127.3,122.2,37.7,7.8,0.0,0.0,0.0,0.0,0.0,0.0,33.3,1.25,1.25,0.338,85.57,98.42,82.01,10.0,0.091,2,0,2,2,0,2,0,4,0,2,0,3.98,0.34,0,0,0,9,0,0,5,0,1,1,1.0,1,1,1.0,1.0,0,0,0.0,0.4,0.286,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.667,0.0,0.385
22023,1630527,22300486,"JAN 05, 2024",LAC @ NOP,W,6,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,1,2,-12,1,LAC,@,NOP,0.3864602634763964,0.6192374522206682,0.61078812264487,0.7878896253990855,-0.3101217830540071,0.6833102192142901,1630527,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:20,13.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,22300486,1610612746,LA,Clippers,LAC,clippers,Brandon,Boston Jr.,B. Boston Jr.,brandon-boston-jr,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,70.4,71.4,139.6,169.2,-69.2,-97.8,0.5,1.0,20.0,0.143,0.111,0.125,20.0,0.333,0.333,0.247,110.91,99.95,83.29,14.0,0.023,0,0,0,2,5,3,2,10,0,1,0,4.13,0.5,1,2,3,13,0,0,9,1,0,1,0.0,1,2,0.5,0.333,1,1,1.0,0.333,0.3,0.0,0.0,0.0,0.0,0.5,0.333,0.4,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.2
22023,1630527,22300458,"JAN 01, 2024",LAC vs. MIA,W,3,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,LAC,vs.,MIA,0.1308487506258664,-0.4605059443489009,0.2959488841681325,-0.1371884491509589,-1.4149306351838773,-0.465110317280314,1630527,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:55,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22300458,1610612746,LA,Clippers,LAC,clippers,Brandon,Boston Jr.,B. Boston Jr.,brandon-boston-jr,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,66.7,143.4,140.0,-63.4,-73.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,81.3,90.51,75.43,6.0,-0.1,0,0,0,0,6,0,0,0,0,0,0,3.87,0.21,0,0,0,7,0,0,6,0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22023,1630527,22300389,"DEC 23, 2023",LAC vs. BOS,L,13,3,6,0.5,1,4,0.25,6,6,1.0,1,2,3,0,0,0,0,1,13,-4,1,LAC,vs.,BOS,1.6523458509266422,1.4221235676185562,1.177498751902997,1.6940885555705574,-0.6008609546671322,0.9704153533379412,1630527,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5:43,26.0,0.0,11.0,2.0,4.0,0.0,0.0,4.0,6.0,0.667,1.0,2.0,0.5,22300389,1610612746,LA,Clippers,LAC,clippers,Brandon,Boston Jr.,B. Boston Jr.,brandon-boston-jr,,,,0.333,0.667,0.308,0.0,0.231,0.0,0.462,0.0,0.308,0.5,0.5,1.0,0.0,0.667,0.333,132.0,134.6,150.9,150.0,-19.0,-15.4,0.0,0.0,0.0,0.091,0.182,0.136,0.0,0.583,0.752,0.327,95.2,94.55,78.79,26.0,0.172,0,2,0,4,3,9,4,16,0,1,3,4.15,0.99,1,4,5,19,0,0,10,0,0,0,0.0,3,6,0.5,0.5,0,0,0.0,0.25,0.261,0.333,0.364,0.75,0.75,1.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.143,0.375,0.371
22023,1630527,22300379,"DEC 21, 2023",LAC @ OKC,L,16,3,10,0.3,1,5,0.2,0,0,0.0,1,0,1,1,1,0,0,1,7,-4,1,LAC,@,OKC,1.1472088136267842,1.228323470798376,1.177498751902997,1.5430554005419783,0.4458000631401244,-1.211583666001807,1630527,7.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6:05,32.0,0.0,4.0,0.0,2.0,3.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,22300379,1610612746,LA,Clippers,LAC,clippers,Brandon,Boston Jr.,B. Boston Jr.,brandon-boston-jr,,,,0.5,0.5,0.571,0.0,0.429,0.0,0.0,0.714,0.571,0.5,0.5,1.0,0.0,0.667,0.333,99.0,97.1,113.8,112.1,-14.7,-15.1,0.091,0.0,9.1,0.05,0.0,0.034,0.0,0.35,0.35,0.248,96.16,97.85,81.54,34.0,0.024,5,5,0,4,2,0,8,18,1,1,0,4.05,1.18,1,2,3,25,0,0,15,1,1,3,0.333,2,7,0.286,0.299,1,1,1.0,0.214,0.294,0.25,0.357,0.0,0.0,0.143,0.0,0.077,0.2,0.0,0.2,0.0,0.333,0.2,0.0,0.212
