SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Team,Location,Opponent,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_REB_PCT,personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
22023,1641732,22300532,"JAN 12, 2024",SAC @ PHI,L,9,0,4,0.0,0,1,0.0,0,0,0.0,1,2,3,3,1,0,1,3,0,6,1,SAC,@,PHI,0.7942214863570046,0.923780461509524,0.7367238180355624,1.0710767910776704,-0.1356782800861255,-0.2928472368061234,1641732,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3:53,17.9,0.0,7.0,2.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,22300532,1610612758,Sacramento,Kings,SAC,kings,Colby,Jones,C. Jones,colby-jones,,,,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.9,111.1,71.7,73.7,40.1,37.4,0.333,3.0,37.5,0.077,0.182,0.125,12.5,0.0,0.0,0.201,102.0,100.91,84.09,18.0,-0.055,0,0,0,0,2,0,0,4,1,3,0,5.0,0.8,1,4,5,18,0,0,12,3,0,1,0.0,0,3,0.0,0.0,0,0,0.0,0.0,0.182,0.0,0.25,0.0,0.0,0.143,0.222,0.188,0.6,0.5,1.0,0.0,1.0,0.5,0.0,0.0
22023,1641732,22300518,"JAN 10, 2024",SAC @ CHA,W,14,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,1,SAC,@,CHA,-1.7192917233398772,-1.4295064284497985,-1.8449579374736864,-2.081740320143909,-0.7171566233123755,-1.3264257196512672,1641732,0.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5:49,25.8,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,22300518,1610612758,Sacramento,Kings,SAC,kings,Colby,Jones,C. Jones,colby-jones,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.5,121.4,126.9,122.2,-3.4,-0.8,0.0,0.0,0.0,0.067,0.0,0.033,0.0,0.0,0.0,0.06,92.4,94.95,79.13,28.0,-0.024,0,0,0,0,8,6,2,10,0,0,0,4.9,1.21,1,1,2,16,0,0,14,0,0,0,0.0,0,2,0.0,0.0,0,0,0.0,0.0,0.077,0.0,0.167,0.0,0.0,0.167,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22023,1641732,22300500,"JAN 07, 2024",SAC vs. NOP,L,10,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,4,1,0,0,1,4,12,1,SAC,vs.,NOP,0.3864602634763964,0.6192374522206682,0.61078812264487,0.7878896253990855,-0.3101217830540071,0.6833102192142901,1641732,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:27,20.4,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22300500,1610612758,Sacramento,Kings,SAC,kings,Colby,Jones,C. Jones,colby-jones,,,,0.6,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,179.2,185.7,130.8,122.7,48.4,63.0,0.308,0.0,44.4,0.0,0.333,0.071,0.0,0.4,0.4,0.187,97.85,99.23,82.69,21.0,0.089,0,0,0,4,3,5,5,10,0,1,2,4.82,0.9,0,1,1,25,1,0,19,4,1,1,1.0,1,4,0.25,0.4,1,2,0.5,0.133,0.2,0.0,0.182,0.0,0.0,0.0,0.5,0.143,0.4,0.0,0.25,0.0,0.0,0.333,0.4,0.103
22023,1641732,22300400,"DEC 23, 2023",SAC vs. MIN,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3,1,SAC,vs.,MIN,1.2689285816508464,-0.1005914788257112,2.153500391180881,1.2221099461062492,-0.8916001262802572,1.200099460636862,1641732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1:02,7.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,22300400,1610612758,Sacramento,Kings,SAC,kings,Colby,Jones,C. Jones,colby-jones,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.9,100.0,57.1,57.1,55.8,42.9,0.0,0.0,0.0,0.0,0.25,0.167,0.0,0.0,0.0,0.0,134.81,142.98,119.15,7.0,0.1,0,0,0,0,4,0,4,4,0,0,0,5.61,0.24,0,1,1,3,0,0,3,0,0,0,0.0,0,0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22023,1641732,22300358,"DEC 18, 2023",SAC vs. WAS,W,4,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,-6,1,SAC,vs.,WAS,-1.8775274217711573,-0.9311633223407662,-1.37269907975858,-1.4587285556510223,2.073939424173622,-2.8767934439189795,1641732,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:53,8.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,22300358,1610612758,Sacramento,Kings,SAC,kings,Colby,Jones,C. Jones,colby-jones,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,87.5,77.8,158.5,162.5,-71.0,-84.7,0.0,0.0,0.0,0.2,0.0,0.125,0.0,0.333,0.333,0.333,107.01,112.29,93.58,9.0,-0.026,0,0,0,2,3,0,2,6,0,1,0,5.19,0.35,1,0,1,7,1,0,4,0,0,1,0.0,1,2,0.5,0.333,0,0,0.0,0.333,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.286
22023,1641732,22300303,"DEC 11, 2023",SAC vs. BKN,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6,1,SAC,vs.,BKN,-0.5812118923148966,-0.1005914788257112,-0.3337295927853425,-0.2882216041795376,-0.6590087889897539,0.2239420046164484,1641732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22300303,1610612758,Sacramento,Kings,SAC,kings,Colby,Jones,C. Jones,colby-jones,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.3,300.0,-208.3,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.46,94.74,78.95,3.0,-0.4,0,0,0,0,3,0,0,4,0,1,0,4.49,0.11,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0
22023,1641732,22300264,"NOV 29, 2023",SAC vs. LAC,L,1,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,0,2,0,1,SAC,vs.,LAC,1.0620049760099417,1.3390663832670515,0.7052398941878905,1.335384812377683,-0.7753044576350056,0.6258891923895599,1641732,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:38,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22300264,1610612758,Sacramento,Kings,SAC,kings,Colby,Jones,C. Jones,colby-jones,,,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,66.7,50.0,66.7,66.7,0.0,-16.7,0.0,0.0,0.0,0.5,0.0,0.333,33.3,0.5,0.5,0.75,110.77,129.23,107.69,4.0,0.2,0,2,0,2,0,0,0,2,0,0,0,5.21,0.13,1,0,1,5,0,0,1,0,0,0,0.0,1,2,0.5,0.5,0,0,0.0,1.0,0.667,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
22023,1641732,22300222,"NOV 20, 2023",SAC @ NOP,L,14,4,8,0.5,0,2,0.0,0,1,0.0,0,1,1,0,1,0,0,2,8,-1,1,SAC,@,NOP,0.3864602634763964,0.6192374522206682,0.61078812264487,0.7878896253990855,-0.3101217830540071,0.6833102192142901,1641732,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6:09,29.5,0.0,5.0,1.0,1.0,2.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,22300222,1610612758,Sacramento,Kings,SAC,kings,Colby,Jones,C. Jones,colby-jones,,,,0.75,0.25,1.0,0.25,0.0,0.25,0.0,0.0,0.75,1.0,0.0,0.0,0.0,1.0,0.0,110.4,110.7,108.4,106.7,2.0,4.0,0.0,0.0,0.0,0.0,0.071,0.038,0.0,0.5,0.474,0.275,100.78,101.48,84.57,28.0,0.053,0,0,2,6,6,5,5,16,1,2,1,4.87,1.2,1,3,4,25,0,1,17,0,2,3,0.667,2,5,0.4,0.5,1,1,1.0,0.333,0.348,0.0,0.286,0.0,0.143,0.0,0.125,0.111,0.0,0.0,0.5,0.0,1.0,0.286,0.125,0.258
22023,1641732,22300212,"NOV 19, 2023",SAC @ DAL,W,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-3,1,SAC,@,DAL,0.2586545070511318,0.5915517241035013,-0.7430206028051048,-0.0239135828795249,0.6202435661079978,-1.4412677733007275,1641732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:29,7.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,22300212,1610612758,Sacramento,Kings,SAC,kings,Colby,Jones,C. Jones,colby-jones,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,100.0,128.9,142.9,-41.4,-42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,96.16,85.42,71.19,7.0,-0.3,0,0,0,0,1,3,0,6,0,2,0,4.08,0.3,0,1,1,4,0,0,3,0,0,0,0.0,0,1,0.0,0.0,1,1,1.0,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0
22023,1641732,22300191,"NOV 13, 2023",SAC vs. CLE,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1,SAC,vs.,CLE,0.8794253239738482,0.1485800742288029,1.429370142684386,0.9578019248062364,-0.6008609546671322,0.9704153533379412,1641732,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:24,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22300191,1610612758,Sacramento,Kings,SAC,kings,Colby,Jones,C. Jones,colby-jones,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,-250.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.84,97.3,81.08,3.0,0.0,0,0,0,0,0,0,0,2,0,0,0,4.81,0.11,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
