SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Team,Location,Opponent,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_REB_PCT,personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
22023,1630175,22300638,"JAN 26, 2024",ORL @ MEM,L,23,2,8,0.25,0,4,0.0,1,2,0.5,0,7,7,4,2,0,0,0,5,10,1,ORL,@,MEM,-0.7103681278965535,-2.146133622199808,0.7749048496454486,-1.0325339996081988,-0.0960615236686424,-1.1510528795495265,1630175,5.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9:08,48.9,0.0,10.0,7.0,3.0,2.0,2.0,4.0,7.0,0.571,2.0,5.0,0.4,22300638,1610612753,Orlando,Magic,ORL,magic,Cole,Anthony,C. Anthony,cole-anthony,,,,0.5,0.5,0.8,0.8,0.0,0.2,0.2,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,114.2,114.6,87.9,91.8,26.3,22.7,0.211,0.0,30.8,0.0,0.269,0.146,0.0,0.25,0.282,0.173,102.05,99.63,83.02,48.0,0.11,0,0,1,0,2,3,4,24,1,0,1,4.58,1.88,1,11,12,36,0,0,27,4,0,1,0.0,2,7,0.286,0.25,1,1,1.0,0.095,0.195,0.0,0.286,0.1,0.143,0.0,0.368,0.304,0.364,0.0,0.333,0.0,0.25,0.0,0.125,0.091
22023,1630175,22300607,"JAN 22, 2024",ORL vs. CLE,L,13,2,4,0.5,1,1,1.0,0,0,0.0,0,2,2,2,0,0,2,1,5,-9,1,ORL,vs.,CLE,0.8340873549836636,0.0447301350437282,1.5444655279140278,0.9450633477076884,-0.6147937514793889,0.9819499523369136,1630175,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:32,22.1,0.0,13.0,2.0,1.0,0.0,0.0,4.0,7.0,0.571,3.0,4.0,0.75,22300607,1610612753,Orlando,Magic,ORL,magic,Cole,Anthony,C. Anthony,cole-anthony,,,,0.75,0.25,0.4,0.4,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,105.3,108.0,167.3,156.5,-62.0,-48.5,0.286,1.0,25.0,0.0,0.2,0.091,25.0,0.625,0.625,0.217,88.43,90.0,75.0,25.0,0.073,0,0,0,0,8,7,2,12,1,1,0,4.45,1.03,3,4,7,33,1,0,27,2,0,2,0.0,2,2,1.0,0.5,1,2,0.5,0.222,0.2,0.2,0.1,0.0,0.0,0.0,0.4,0.286,0.286,0.4,0.0,0.0,1.0,0.143,0.0,0.185
22023,1630175,22300601,"JAN 21, 2024",ORL vs. MIA,W,16,2,6,0.333,1,2,0.5,0,0,0.0,0,6,6,2,1,1,3,0,5,12,1,ORL,vs.,MIA,0.0710164642325682,-0.5029858042671558,0.2939294257275849,-0.1768428397119014,-1.4217105502960954,-0.5169169025022063,1630175,5.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7:10,31.0,0.0,2.0,6.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,2.0,0.0,22300601,1610612753,Orlando,Magic,ORL,magic,Cole,Anthony,C. Anthony,cole-anthony,,,,0.667,0.333,0.4,0.0,0.6,0.4,0.0,0.0,0.4,0.0,1.0,1.0,0.0,0.5,0.5,110.8,109.4,68.1,71.9,42.6,37.5,0.222,0.67,18.2,0.0,0.25,0.167,27.3,0.417,0.417,0.253,95.17,93.19,77.65,32.0,0.25,0,3,2,2,7,4,0,16,0,0,0,4.23,1.26,2,9,11,32,0,1,23,2,0,1,0.0,2,5,0.4,0.333,1,1,1.0,0.182,0.261,1.0,0.333,0.0,0.0,0.0,0.5,0.375,0.5,0.5,1.0,0.25,0.0,0.0,0.0,0.143
22023,1630175,22300585,"JAN 19, 2024",ORL vs. PHI,L,21,0,5,0.0,0,1,0.0,3,3,1.0,0,1,1,3,0,0,4,3,3,-12,1,ORL,vs.,PHI,0.797459952227611,0.9210756379411434,0.742839821384255,1.0781708614693346,-0.1536984378698329,-0.2863220017577264,1630175,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7:36,38.0,0.0,13.0,1.0,3.0,0.0,0.0,4.0,11.0,0.364,1.0,3.0,0.333,22300585,1610612753,Orlando,Magic,ORL,magic,Cole,Anthony,C. Anthony,cole-anthony,,,,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.1,110.3,146.7,137.5,-40.6,-27.2,0.2,0.75,23.1,0.0,0.063,0.028,30.8,0.0,0.237,0.206,90.95,92.11,76.76,39.0,-0.062,0,0,0,0,11,8,6,16,0,3,2,4.52,1.69,0,2,2,40,0,1,29,3,0,0,0.0,0,5,0.0,0.0,1,1,1.0,0.0,0.143,0.0,0.111,0.375,0.375,0.0,0.125,0.063,0.3,0.4,0.0,0.0,0.0,0.273,0.2,0.07
22023,1630175,22300570,"JAN 17, 2024",ORL @ ATL,L,22,3,10,0.3,1,6,0.167,3,4,0.75,0,1,1,1,1,3,1,1,10,2,1,ORL,@,ATL,-0.4478717414781767,0.4829028864924338,-1.597907241682681,-0.6141960992144535,1.40249824556239,0.1172190745451136,1630175,10.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7:39,46.7,0.0,8.0,1.0,2.0,2.0,1.0,3.0,8.0,0.375,0.0,1.0,0.0,22300570,1610612753,Orlando,Magic,ORL,magic,Cole,Anthony,C. Anthony,cole-anthony,,,,0.4,0.6,0.4,0.0,0.3,0.2,0.3,0.4,0.4,1.0,0.0,1.0,0.0,1.0,0.0,105.3,100.0,98.9,95.8,6.4,4.2,0.077,1.0,7.1,0.0,0.059,0.025,7.1,0.35,0.425,0.262,100.69,104.93,87.44,48.0,0.056,4,0,2,4,10,5,2,30,0,1,4,4.63,1.8,0,6,6,43,0,0,30,1,1,2,0.5,2,8,0.25,0.299,2,2,1.0,0.188,0.278,0.25,0.4,0.25,0.267,0.0,0.083,0.063,0.1,0.143,0.143,0.75,0.0,0.1,0.364,0.208
22023,1630175,22300557,"JAN 15, 2024",ORL @ NYK,W,26,6,12,0.5,0,3,0.0,3,4,0.75,2,2,4,5,2,0,2,2,15,18,1,ORL,@,NYK,0.8951330262437512,0.5650602773890657,0.7749048496454486,0.8499865521636553,-1.248799807692516,1.8466808301287136,1630175,15.0,5.0,3.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11:27,47.3,0.0,10.0,2.0,0.0,1.0,2.0,4.0,10.0,0.4,1.0,4.0,0.25,22300557,1610612753,Orlando,Magic,ORL,magic,Cole,Anthony,C. Anthony,cole-anthony,,,,0.75,0.25,0.8,0.133,0.0,0.2,0.2,0.133,0.667,0.167,0.833,0.0,0.0,0.167,0.833,119.9,118.8,81.9,78.0,38.0,40.8,0.278,2.5,23.8,0.091,0.061,0.073,9.5,0.5,0.545,0.299,87.42,90.06,75.05,48.0,0.189,2,2,3,10,2,6,5,16,0,2,2,4.55,2.11,2,4,6,45,0,0,26,5,2,4,0.5,4,8,0.5,0.5,2,2,1.0,0.25,0.261,0.0,0.25,0.5,0.5,0.333,0.091,0.143,0.333,0.5,1.0,0.0,0.0,0.182,0.25,0.263
22023,1630175,22300546,"JAN 13, 2024",ORL @ OKC,L,25,6,11,0.545,1,3,0.333,1,2,0.5,2,2,4,2,1,1,2,4,14,-6,1,ORL,@,OKC,1.1087928756540582,1.2770909984932173,1.159685188779736,1.5535548391894998,0.4803076183432943,-1.2663503299217664,1630175,14.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:27,48.1,0.0,16.0,2.0,2.0,0.0,1.0,5.0,9.0,0.556,1.0,3.0,0.333,22300546,1610612753,Orlando,Magic,ORL,magic,Cole,Anthony,C. Anthony,cole-anthony,,,,0.727,0.273,0.714,0.286,0.214,0.286,0.071,0.0,0.429,0.2,0.8,1.0,0.0,0.333,0.667,90.7,90.4,102.5,106.0,-11.7,-15.6,0.182,1.0,12.5,0.083,0.061,0.07,12.5,0.591,0.589,0.251,101.06,99.58,82.98,52.0,0.12,0,3,4,6,12,15,2,34,1,4,1,4.45,1.98,4,6,10,54,0,0,37,2,2,4,0.5,4,7,0.571,0.545,2,2,1.0,0.353,0.289,0.5,0.214,0.091,0.1,0.5,0.1,0.167,0.286,0.222,0.5,0.125,0.333,0.286,0.071,0.298
22023,1630175,22300535,"JAN 12, 2024",ORL @ MIA,L,27,2,8,0.25,0,2,0.0,1,2,0.5,1,2,3,0,2,1,0,1,5,2,1,ORL,@,MIA,0.0710164642325682,-0.5029858042671558,0.2939294257275849,-0.1768428397119014,-1.4217105502960954,-0.5169169025022063,1630175,5.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10:40,49.0,0.0,15.0,2.0,3.0,2.0,2.0,7.0,13.0,0.538,0.0,2.0,0.0,22300535,1610612753,Orlando,Magic,ORL,magic,Cole,Anthony,C. Anthony,cole-anthony,,,,0.75,0.25,0.8,0.0,0.0,0.0,0.2,0.0,0.8,0.5,0.5,0.0,0.0,0.5,0.5,107.3,109.1,108.9,107.4,-1.6,1.7,0.0,0.0,0.0,0.033,0.105,0.061,0.0,0.25,0.282,0.143,95.97,95.79,79.83,55.0,0.02,0,0,0,4,9,4,11,38,0,1,1,4.43,2.17,4,3,7,47,0,1,37,0,1,4,0.25,1,4,0.25,0.25,3,4,0.75,0.095,0.16,0.0,0.091,0.083,0.111,0.143,0.154,0.15,0.0,0.0,0.333,0.25,0.0,0.083,0.083,0.083
22023,1630175,22300513,"JAN 09, 2024",ORL vs. MIN,L,7,1,4,0.25,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,2,2,2,1,ORL,vs.,MIN,1.2369887853002417,-0.1743562406806246,2.0895710083542745,1.1162015796869478,-0.8453414082841587,1.0972474027091537,1630175,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:35,15.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,22300513,1610612753,Orlando,Magic,ORL,magic,Cole,Anthony,C. Anthony,cole-anthony,,,,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,101.7,87.5,80.6,80.0,21.1,7.5,0.0,0.0,0.0,0.143,0.0,0.077,0.0,0.25,0.25,0.271,101.33,109.68,91.4,16.0,-0.128,0,0,2,2,4,2,4,10,0,2,0,4.77,0.58,1,3,4,9,0,0,4,0,0,1,0.0,1,3,0.333,0.25,1,1,1.0,0.25,0.364,0.0,0.2,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.143
22023,1630175,22300499,"JAN 07, 2024",ORL vs. ATL,W,31,3,13,0.231,0,3,0.0,4,4,1.0,0,9,9,5,0,0,4,5,10,-17,1,ORL,vs.,ATL,-0.4478717414781767,0.4829028864924338,-1.597907241682681,-0.6141960992144535,1.40249824556239,0.1172190745451136,1630175,10.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:31,58.0,0.0,7.0,9.0,2.0,1.0,0.0,3.0,11.0,0.273,0.0,3.0,0.0,22300499,1610612753,Orlando,Magic,ORL,magic,Cole,Anthony,C. Anthony,cole-anthony,,,,0.769,0.231,0.6,0.4,0.0,0.0,0.4,0.2,0.2,0.0,1.0,0.0,0.0,0.0,1.0,83.0,84.1,113.4,114.8,-30.4,-30.6,0.278,1.25,20.8,0.0,0.31,0.143,16.7,0.231,0.339,0.276,98.29,97.06,80.89,63.0,0.048,2,0,0,2,10,4,13,36,2,5,4,4.59,2.53,3,10,12,65,0,0,42,5,0,2,0.0,3,11,0.273,0.231,0,0,0.0,0.143,0.25,0.0,0.167,0.8,0.364,0.0,0.391,0.321,0.455,0.333,0.0,0.0,0.286,0.385,0.267,0.189
