SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Team,Location,Opponent,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_REB_PCT,personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
22023,1627749,22300669,"JAN 30, 2024",ATL vs. LAL,W,33,11,19,0.579,0,4,0.0,2,2,1.0,0,4,4,9,2,0,3,1,24,19,1,ATL,vs.,LAL,-0.0578168898114298,-0.4605059443489009,0.0755614172344154,-0.2693424598009653,1.0272784063663745,-0.465110317280314,1627749,24.0,2.0,1.0,1.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12:56,74.9,0.0,7.0,4.0,10.0,2.0,2.0,3.0,7.0,0.429,1.0,3.0,0.333,22300669,1610612737,Atlanta,Hawks,ATL,hawks,Dejounte,Murray,D. Murray,dejounte-murray,G,,,0.789,0.211,0.917,0.25,0.0,0.083,0.083,0.083,0.667,0.273,0.727,0.0,0.0,0.273,0.727,136.1,134.6,112.3,111.7,23.8,22.9,0.3,3.0,28.1,0.0,0.125,0.066,9.4,0.579,0.604,0.267,110.71,111.6,93.0,78.0,0.143,2,0,2,16,9,6,13,46,0,1,1,4.49,2.64,0,5,5,69,3,1,45,9,2,5,0.4,9,14,0.643,0.578,1,1,1.0,0.268,0.275,0.0,0.2,0.167,0.143,0.0,0.174,0.125,0.391,0.273,0.25,0.0,0.0,0.091,0.083,0.229
22023,1627749,22300634,"JAN 26, 2024",ATL vs. DAL,L,37,9,18,0.5,3,7,0.429,1,2,0.5,1,4,5,7,0,0,3,3,22,-21,1,ATL,vs.,DAL,0.2586545070511318,0.5915517241035013,-0.7430206028051048,-0.0239135828795249,0.6202435661079978,-1.4412677733007275,1627749,22.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13:22,80.0,0.0,8.0,4.0,3.0,1.0,0.0,3.0,4.0,0.75,1.0,1.0,1.0,22300634,1610612737,Atlanta,Hawks,ATL,hawks,Dejounte,Murray,D. Murray,dejounte-murray,G,,,0.611,0.389,0.545,0.091,0.409,0.182,0.045,0.227,0.455,0.333,0.667,0.667,0.333,0.444,0.556,124.2,124.1,150.4,151.2,-26.2,-27.1,0.233,2.33,24.1,0.024,0.174,0.078,10.3,0.583,0.583,0.237,107.12,106.88,89.07,83.0,0.084,5,0,4,10,8,8,19,50,2,3,6,4.29,2.87,2,7,9,83,0,0,53,7,5,10,0.5,4,8,0.5,0.5,2,4,0.5,0.231,0.228,0.273,0.269,0.071,0.111,0.1,0.25,0.192,0.292,0.5,0.0,0.0,0.5,0.15,0.316,0.214
22023,1627749,22300626,"JAN 24, 2024",ATL @ GSW,L,33,7,19,0.368,2,7,0.286,7,8,0.875,3,4,7,7,1,0,2,2,23,-13,1,ATL,@,GSW,-0.2708264838535383,0.5638659959863304,-0.6800527551097565,-0.0239135828795249,0.0969130572043694,0.9129943265132108,1627749,23.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12:41,70.0,0.0,21.0,4.0,4.0,0.0,1.0,7.0,13.0,0.538,3.0,5.0,0.6,22300626,1610612737,Atlanta,Hawks,ATL,hawks,Dejounte,Murray,D. Murray,dejounte-murray,G,,,0.632,0.368,0.435,0.087,0.261,0.0,0.304,0.0,0.348,0.4,0.6,1.0,0.0,0.571,0.429,112.3,118.8,135.4,133.8,-23.1,-15.0,0.35,3.5,21.9,0.067,0.125,0.091,6.3,0.421,0.511,0.291,103.44,101.15,84.3,69.0,0.117,0,2,0,8,15,5,7,38,2,2,4,4.38,2.56,7,6,13,91,2,3,64,7,4,11,0.364,3,8,0.375,0.367,0,3,0.0,0.259,0.275,0.222,0.25,0.368,0.32,0.231,0.167,0.189,0.389,0.333,0.25,0.0,0.25,0.167,0.267,0.28
22023,1627749,22300613,"JAN 22, 2024",ATL @ SAC,L,40,11,23,0.478,6,10,0.6,7,8,0.875,0,10,10,6,0,1,4,1,35,-4,1,ATL,@,SAC,0.532523985105271,0.2870087148146454,-0.3652135166330189,-0.0050344385009526,0.2132087258496211,0.2239420046164484,1627749,35.0,4.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16:17,83.9,0.0,13.0,10.0,1.0,0.0,0.0,5.0,7.0,0.714,2.0,3.0,0.667,22300613,1610612737,Atlanta,Hawks,ATL,hawks,Dejounte,Murray,D. Murray,dejounte-murray,G,,,0.565,0.435,0.286,0.057,0.514,0.029,0.2,0.057,0.229,0.2,0.8,0.5,0.5,0.364,0.636,112.5,112.6,118.8,118.6,-6.3,-6.0,0.261,1.5,16.7,0.0,0.238,0.108,11.1,0.609,0.66,0.306,103.52,103.52,86.27,87.0,0.192,2,0,1,8,7,7,11,36,0,1,5,4.46,3.18,1,12,12,127,4,2,92,6,5,8,0.625,6,15,0.4,0.477,0,1,0.0,0.324,0.288,0.462,0.27,0.412,0.348,0.0,0.323,0.238,0.353,0.5,0.0,0.2,0.0,0.063,0.278,0.357
22023,1627749,22300595,"JAN 20, 2024",ATL vs. CLE,L,35,10,19,0.526,2,7,0.286,2,2,1.0,0,9,9,5,1,0,2,2,24,-20,1,ATL,vs.,CLE,0.8794253239738482,0.1485800742288029,1.429370142684386,0.9578019248062364,-0.6008609546671322,0.9704153533379412,1627749,24.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13:19,71.1,0.0,19.0,9.0,7.0,1.0,1.0,7.0,11.0,0.636,3.0,3.0,1.0,22300595,1610612737,Atlanta,Hawks,ATL,hawks,Dejounte,Murray,D. Murray,dejounte-murray,G,,,0.632,0.368,0.667,0.083,0.25,0.167,0.083,0.125,0.583,0.25,0.75,1.0,0.0,0.4,0.6,93.4,90.5,121.3,120.8,-27.9,-30.3,0.313,2.5,18.5,0.0,0.273,0.118,7.4,0.579,0.604,0.266,99.16,100.93,84.11,74.0,0.172,3,2,4,14,12,4,6,28,0,2,3,4.36,2.66,1,9,10,79,1,1,50,5,7,9,0.778,3,10,0.3,0.526,2,2,1.0,0.385,0.284,0.333,0.304,0.222,0.154,0.0,0.333,0.237,0.278,0.2,0.25,0.0,0.0,0.167,0.231,0.358
22023,1627749,22300587,"JAN 19, 2024",ATL @ MIA,W,40,9,22,0.409,3,7,0.429,1,1,1.0,0,3,3,11,2,0,2,2,22,3,1,ATL,@,MIA,0.1308487506258664,-0.4605059443489009,0.2959488841681325,-0.1371884491509589,-1.4149306351838773,-0.465110317280314,1627749,22.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17:05,79.0,0.0,15.0,3.0,2.0,1.0,2.0,6.0,12.0,0.5,1.0,3.0,0.333,22300587,1610612737,Atlanta,Hawks,ATL,hawks,Dejounte,Murray,D. Murray,dejounte-murray,G,,,0.682,0.318,0.545,0.091,0.409,0.318,0.045,0.091,0.455,0.167,0.833,0.0,1.0,0.111,0.889,115.2,120.3,116.6,116.5,-1.4,3.8,0.423,5.5,31.4,0.0,0.081,0.039,5.7,0.477,0.49,0.262,97.41,95.36,79.46,79.0,0.136,2,0,7,10,11,11,4,44,1,2,1,4.17,2.97,0,4,4,106,2,1,80,11,8,14,0.571,1,8,0.125,0.408,2,2,1.0,0.257,0.301,0.273,0.259,0.071,0.059,0.0,0.125,0.091,0.611,0.182,0.4,0.0,1.0,0.111,0.063,0.232
22023,1627749,22300570,"JAN 17, 2024",ATL vs. ORL,W,36,11,18,0.611,1,4,0.25,3,3,1.0,1,4,5,5,2,0,5,1,26,-2,1,ATL,vs.,ORL,0.1308487506258664,-0.8204204098720945,1.2089826757506688,0.1648778609061983,-0.4845652860218805,0.6258891923895599,1627749,26.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,15:35,69.8,0.0,13.0,4.0,2.0,2.0,2.0,6.0,12.0,0.5,1.0,3.0,0.333,22300570,1610612737,Atlanta,Hawks,ATL,hawks,Dejounte,Murray,D. Murray,dejounte-murray,G,,,0.778,0.222,0.769,0.077,0.115,0.154,0.115,0.154,0.692,0.1,0.9,1.0,0.0,0.182,0.818,104.2,105.6,110.0,108.3,-5.8,-2.8,0.313,1.0,17.2,0.036,0.089,0.068,17.2,0.639,0.673,0.3,95.8,95.91,79.93,72.0,0.198,4,2,4,18,23,23,12,40,1,1,3,4.17,2.65,3,7,10,70,0,0,45,5,8,10,0.8,3,8,0.375,0.61,2,3,0.667,0.407,0.333,0.2,0.235,0.176,0.167,0.143,0.167,0.161,0.385,0.278,0.4,0.0,0.167,0.071,0.188,0.342
22023,1627749,22300559,"JAN 15, 2024",ATL vs. SAS,W,33,6,15,0.4,1,6,0.167,0,0,0.0,0,13,13,0,0,1,2,3,13,0,1,ATL,vs.,SAS,-1.7740656189507051,-1.5125636128013071,-0.9634080697388177,-1.6097617106796012,1.3761654123021212,-1.0393205855276162,1627749,13.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12:24,74.8,0.0,10.0,13.0,2.0,0.0,0.0,4.0,10.0,0.4,0.0,3.0,0.0,22300559,1610612737,Atlanta,Hawks,ATL,hawks,Dejounte,Murray,D. Murray,dejounte-murray,G,,,0.6,0.4,0.769,0.308,0.231,0.154,0.0,0.0,0.462,0.6,0.4,1.0,0.0,0.667,0.333,96.0,94.7,89.2,93.4,6.9,1.2,0.0,0.0,0.0,0.0,0.31,0.159,11.8,0.433,0.433,0.198,112.22,110.38,91.98,75.0,0.11,0,5,2,6,11,10,9,42,1,3,1,4.31,2.55,1,14,15,67,2,0,48,0,3,7,0.429,3,8,0.375,0.4,2,3,0.667,0.231,0.234,0.167,0.25,0.0,0.0,0.0,0.433,0.31,0.0,0.143,0.0,0.167,0.143,0.2,0.071,0.183
22023,1627749,22300543,"JAN 13, 2024",ATL vs. WAS,L,31,4,15,0.267,1,6,0.167,4,4,1.0,0,5,5,3,0,0,2,1,13,-22,1,ATL,vs.,WAS,-1.8775274217711573,-0.9311633223407662,-1.37269907975858,-1.4587285556510223,2.073939424173622,-2.8767934439189795,1627749,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12:23,67.7,0.0,23.0,5.0,3.0,1.0,0.0,11.0,17.0,0.647,0.0,3.0,0.0,22300543,1610612737,Atlanta,Hawks,ATL,hawks,Dejounte,Murray,D. Murray,dejounte-murray,G,,,0.6,0.4,0.462,0.0,0.231,0.0,0.308,0.154,0.462,0.333,0.667,1.0,0.0,0.5,0.5,101.9,102.9,126.4,133.3,-24.5,-30.4,0.167,1.5,13.6,0.0,0.179,0.071,9.1,0.3,0.388,0.235,109.18,105.72,88.1,68.0,0.047,2,2,0,6,20,13,24,46,1,1,2,4.36,2.41,1,9,10,69,1,0,50,3,3,5,0.6,1,10,0.1,0.267,5,7,0.714,0.182,0.246,0.143,0.25,0.211,0.182,0.0,0.278,0.167,0.2,0.2,0.0,0.0,0.167,0.067,0.154,0.186
22023,1627749,22300533,"JAN 12, 2024",ATL vs. IND,L,32,13,18,0.722,3,6,0.5,0,0,0.0,0,4,4,4,3,0,3,2,29,-1,1,ATL,vs.,IND,0.3864602634763964,1.477495023852894,-1.278247308215555,0.2215152940419154,2.073939424173622,-0.465110317280314,1627749,29.0,4.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13:16,62.3,0.0,21.0,4.0,7.0,4.0,3.0,9.0,15.0,0.6,1.0,1.0,1.0,22300533,1610612737,Atlanta,Hawks,ATL,hawks,Dejounte,Murray,D. Murray,dejounte-murray,G,,,0.667,0.333,0.69,0.276,0.31,0.276,0.0,0.138,0.414,0.3,0.7,1.0,0.0,0.462,0.538,113.4,116.7,119.0,120.0,-5.7,-3.3,0.267,1.33,16.0,0.0,0.167,0.067,12.0,0.806,0.806,0.273,100.76,98.92,82.43,66.0,0.2,4,2,8,12,7,6,8,46,0,2,1,4.23,2.37,0,5,5,67,1,1,44,4,4,8,0.5,9,10,0.9,0.721,6,7,0.857,0.464,0.295,0.375,0.3,0.0,0.0,0.0,0.267,0.167,0.235,0.375,0.429,0.0,0.0,0.25,0.063,0.377
