SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Team,Location,Opponent,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_REB_PCT,personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
22023,1627750,22300682,"JAN 31, 2024",DEN @ OKC,L,39,6,14,0.429,2,3,0.667,2,2,1.0,1,2,3,4,0,2,0,3,16,1,1,DEN,@,OKC,1.1472088136267842,1.228323470798376,1.177498751902997,1.5430554005419783,0.4458000631401244,-1.211583666001807,1627750,16.0,8.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15:19,76.2,0.0,16.0,2.0,2.0,3.0,0.0,6.0,16.0,0.375,1.0,5.0,0.2,22300682,1610612743,Denver,Nuggets,DEN,nuggets,Jamal,Murray,J. Murray,jamal-murray,G,,,0.786,0.214,0.5,0.25,0.375,0.125,0.125,0.0,0.25,0.25,0.75,0.5,0.5,0.333,0.667,103.7,105.1,103.5,103.8,0.2,1.3,0.174,0.0,21.1,0.023,0.044,0.034,0.0,0.5,0.538,0.174,98.0,97.2,81.0,78.0,0.088,0,3,2,4,14,14,12,46,1,3,3,3.89,2.69,2,4,6,71,0,0,53,4,2,7,0.286,4,7,0.571,0.428,1,3,0.333,0.207,0.2,0.154,0.1,0.182,0.125,0.143,0.069,0.083,0.211,0.0,0.0,0.25,0.125,0.15,0.25,0.195
22023,1627750,22300667,"JAN 29, 2024",DEN vs. MIL,W,36,13,22,0.591,0,2,0.0,9,10,0.9,1,1,2,5,2,0,2,1,35,-3,1,DEN,vs.,MIL,1.0194030572015196,1.4498092957357231,-0.3337295927853425,0.7878896253990855,1.4924610809473728,0.1665209777917182,1627750,35.0,6.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12:56,71.9,0.0,9.0,1.0,3.0,0.0,2.0,4.0,12.0,0.333,1.0,6.0,0.167,22300667,1610612743,Denver,Nuggets,DEN,nuggets,Jamal,Murray,J. Murray,jamal-murray,G,,,0.909,0.091,0.743,0.229,0.0,0.057,0.257,0.057,0.514,0.308,0.692,0.0,0.0,0.308,0.692,117.2,113.2,119.7,120.3,-2.5,-7.1,0.25,2.5,15.2,0.034,0.03,0.032,6.1,0.591,0.663,0.362,98.89,100.42,83.68,76.0,0.196,2,2,2,18,9,12,10,24,2,1,6,4.08,2.63,6,2,7,79,0,1,51,5,4,8,0.5,9,14,0.643,0.59,0,1,0.0,0.394,0.355,0.0,0.2,0.529,0.526,0.25,0.048,0.08,0.25,0.286,0.333,0.0,0.333,0.059,0.353,0.407
22023,1627750,22300644,"JAN 27, 2024",DEN vs. PHI,W,37,8,15,0.533,6,10,0.6,1,4,0.25,0,3,3,7,1,1,2,1,23,13,1,DEN,vs.,PHI,0.7942214863570046,0.923780461509524,0.7367238180355624,1.0710767910776704,-0.1356782800861255,-0.2928472368061234,1627750,23.0,8.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14:30,70.0,0.0,5.0,3.0,4.0,1.0,1.0,2.0,8.0,0.25,0.0,5.0,0.0,22300644,1610612743,Denver,Nuggets,DEN,nuggets,Jamal,Murray,J. Murray,jamal-murray,G,,,0.333,0.667,0.174,0.087,0.783,0.087,0.043,0.087,0.087,0.5,0.5,0.667,0.333,0.625,0.375,136.3,131.5,118.8,118.6,17.4,12.9,0.28,3.5,26.9,0.0,0.097,0.045,7.7,0.733,0.686,0.236,91.49,93.26,77.72,73.0,0.127,2,3,2,2,8,8,7,48,1,1,4,3.67,2.42,1,5,6,69,0,1,45,7,0,1,0.0,8,14,0.571,0.533,1,1,1.0,0.242,0.238,0.5,0.385,0.056,0.154,0.0,0.13,0.091,0.304,0.333,0.25,0.5,0.2,0.1,0.182,0.24
22023,1627750,22300631,"JAN 25, 2024",DEN @ NYK,L,30,3,11,0.273,1,3,0.333,2,3,0.667,0,2,2,7,0,0,3,1,9,-29,1,DEN,@,NYK,0.8915973007762544,0.5638659959863304,0.7682077418832388,0.8445270585348025,-1.2404871322160038,1.8317307557088944,1627750,9.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11:53,54.0,0.0,18.0,2.0,4.0,0.0,0.0,7.0,14.0,0.5,2.0,6.0,0.333,22300631,1610612743,Denver,Nuggets,DEN,nuggets,Jamal,Murray,J. Murray,jamal-murray,G,,,0.727,0.273,0.444,0.0,0.333,0.0,0.222,0.0,0.444,0.0,1.0,1.0,0.0,0.333,0.667,94.4,92.9,148.0,147.3,-53.6,-54.4,0.368,2.33,31.8,0.0,0.071,0.036,13.6,0.318,0.365,0.23,89.18,90.15,75.13,56.0,0.04,0,0,0,4,20,17,14,36,1,1,2,3.98,2.11,0,3,3,66,0,0,51,7,2,6,0.333,1,5,0.2,0.273,1,2,0.5,0.136,0.22,0.5,0.273,0.333,0.429,0.0,0.125,0.077,0.538,0.25,0.0,0.0,0.5,0.1,0.222,0.173
22023,1627750,22300614,"JAN 23, 2024",DEN @ IND,W,37,11,24,0.458,3,9,0.333,6,6,1.0,2,6,8,7,0,0,3,1,31,17,1,DEN,@,IND,0.3864602634763964,1.477495023852894,-1.278247308215555,0.2215152940419154,2.073939424173622,-0.465110317280314,1627750,31.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13:17,74.4,0.0,21.0,6.0,6.0,3.0,0.0,10.0,17.0,0.588,1.0,4.0,0.25,22300614,1610612743,Denver,Nuggets,DEN,nuggets,Jamal,Murray,J. Murray,jamal-murray,G,,,0.625,0.375,0.516,0.129,0.29,0.065,0.194,0.097,0.387,0.375,0.625,0.667,0.333,0.455,0.545,131.4,130.7,104.0,105.2,27.4,25.5,0.259,2.33,18.9,0.065,0.15,0.113,8.1,0.521,0.582,0.359,99.51,99.18,82.65,75.0,0.166,3,0,2,12,9,8,4,46,1,1,5,4.18,2.76,3,9,12,90,0,0,56,7,4,9,0.444,7,15,0.467,0.458,4,5,0.8,0.289,0.348,0.333,0.391,0.462,0.4,0.222,0.222,0.222,0.389,0.375,0.0,0.0,1.0,0.077,0.385,0.316
22023,1627750,22300602,"JAN 21, 2024",DEN @ WAS,W,39,7,23,0.304,3,8,0.375,2,2,1.0,1,4,5,7,0,0,1,2,19,4,1,DEN,@,WAS,-1.8775274217711573,-0.9311633223407662,-1.37269907975858,-1.4587285556510223,2.073939424173622,-2.8767934439189795,1627750,19.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14:17,78.6,0.0,16.0,4.0,8.0,1.0,0.0,6.0,16.0,0.375,3.0,8.0,0.375,22300602,1610612743,Denver,Nuggets,DEN,nuggets,Jamal,Murray,J. Murray,jamal-murray,G,,,0.652,0.348,0.421,0.211,0.474,0.158,0.105,0.105,0.211,0.5,0.5,0.667,0.333,0.571,0.429,102.0,101.2,96.9,98.8,5.1,2.4,0.269,7.0,21.9,0.023,0.091,0.057,3.1,0.37,0.398,0.265,103.27,102.68,85.57,84.0,0.076,2,0,3,4,17,8,13,42,1,2,3,4.06,2.83,2,4,6,93,0,0,62,7,3,5,0.6,4,18,0.222,0.303,4,5,0.8,0.212,0.315,0.375,0.4,0.182,0.105,0.091,0.129,0.119,0.333,0.077,0.0,0.0,0.143,0.167,0.176,0.224
22023,1627750,22300586,"JAN 19, 2024",DEN @ BOS,W,37,15,21,0.714,3,7,0.429,2,3,0.667,0,8,8,5,0,0,1,3,35,-7,1,DEN,@,BOS,1.6523458509266422,1.4221235676185562,1.177498751902997,1.6940885555705574,-0.6008609546671322,0.9704153533379412,1627750,35.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14:39,66.7,0.0,18.0,8.0,3.0,1.0,0.0,7.0,24.0,0.292,1.0,9.0,0.111,22300586,1610612743,Denver,Nuggets,DEN,nuggets,Jamal,Murray,J. Murray,jamal-murray,G,,,0.667,0.333,0.686,0.4,0.257,0.057,0.057,0.057,0.286,0.167,0.833,0.667,0.333,0.267,0.733,108.9,112.1,120.4,120.9,-11.5,-8.8,0.313,5.0,18.5,0.0,0.19,0.11,3.7,0.786,0.784,0.293,87.77,86.32,71.93,66.0,0.274,2,2,2,10,17,12,13,36,0,3,3,3.98,2.61,1,10,11,84,2,1,55,5,7,8,0.875,8,13,0.615,0.713,4,5,0.8,0.484,0.35,0.5,0.333,0.333,0.333,0.0,0.286,0.229,0.385,0.091,0.0,0.0,0.0,0.25,0.25,0.473
22023,1627750,22300566,"JAN 16, 2024",DEN @ PHI,L,38,7,16,0.438,1,3,0.333,2,2,1.0,1,2,3,10,0,1,2,0,17,-5,1,DEN,@,PHI,0.7942214863570046,0.923780461509524,0.7367238180355624,1.0710767910776704,-0.1356782800861255,-0.2928472368061234,1627750,17.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12:32,67.6,0.0,9.0,2.0,2.0,0.0,0.0,4.0,10.0,0.4,1.0,5.0,0.2,22300566,1610612743,Denver,Nuggets,DEN,nuggets,Jamal,Murray,J. Murray,jamal-murray,G,,,0.813,0.188,0.706,0.353,0.176,0.0,0.118,0.235,0.353,0.0,1.0,0.0,1.0,0.0,1.0,125.5,128.0,137.8,134.7,-12.2,-6.7,0.333,5.0,34.5,0.026,0.065,0.043,6.9,0.469,0.504,0.212,94.25,94.38,78.65,75.0,0.102,4,0,0,6,12,4,8,32,2,0,2,4.08,2.56,3,4,7,63,1,1,42,10,3,6,0.5,4,9,0.444,0.438,3,4,0.75,0.189,0.219,0.125,0.15,0.143,0.118,0.077,0.08,0.079,0.556,0.222,0.0,0.333,0.286,0.0,0.125,0.177
22023,1627750,22300550,"JAN 14, 2024",DEN vs. IND,W,36,11,18,0.611,1,4,0.25,2,4,0.5,0,1,1,8,1,0,5,3,25,-5,1,DEN,vs.,IND,0.3864602634763964,1.477495023852894,-1.278247308215555,0.2215152940419154,2.073939424173622,-0.465110317280314,1627750,25.0,11.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14:11,75.4,0.0,25.0,1.0,4.0,1.0,1.0,10.0,19.0,0.526,2.0,7.0,0.286,22300550,1610612743,Denver,Nuggets,DEN,nuggets,Jamal,Murray,J. Murray,jamal-murray,G,,,0.778,0.222,0.8,0.24,0.12,0.0,0.08,0.16,0.56,0.4,0.6,1.0,0.0,0.455,0.545,108.1,106.6,113.8,113.2,-5.6,-6.6,0.381,1.6,24.2,0.0,0.027,0.017,15.2,0.639,0.633,0.321,99.86,100.84,84.03,76.0,0.119,4,0,0,14,16,15,5,42,0,3,2,4.16,2.67,0,4,4,72,0,1,42,8,5,7,0.714,6,11,0.545,0.61,2,5,0.4,0.344,0.346,0.167,0.286,0.182,0.222,0.0,0.04,0.036,0.421,0.278,0.167,0.0,0.0,0.231,0.125,0.309
22023,1627750,22300539,"JAN 12, 2024",DEN vs. NOP,W,34,8,15,0.533,3,5,0.6,1,1,1.0,0,2,2,9,0,0,2,3,20,18,1,DEN,vs.,NOP,0.3864602634763964,0.6192374522206682,0.61078812264487,0.7878896253990855,-0.3101217830540071,0.6833102192142901,1627750,20.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13:01,70.3,0.0,16.0,2.0,3.0,0.0,0.0,6.0,14.0,0.429,4.0,9.0,0.444,22300539,1610612743,Denver,Nuggets,DEN,nuggets,Jamal,Murray,J. Murray,jamal-murray,G,,,0.667,0.333,0.5,0.2,0.45,0.1,0.05,0.25,0.3,0.4,0.6,0.0,1.0,0.25,0.75,134.3,140.0,117.4,112.7,16.9,27.3,0.29,4.5,34.6,0.0,0.061,0.034,7.7,0.633,0.648,0.215,99.27,99.19,82.66,70.0,0.105,5,0,2,6,12,4,10,32,0,3,1,4.09,2.53,2,5,7,67,1,2,48,9,3,6,0.5,5,9,0.556,0.533,1,2,0.5,0.205,0.231,0.25,0.2,0.125,0.111,0.0,0.077,0.063,0.391,0.2,0.0,0.0,0.0,0.214,0.167,0.204
