SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Team,Location,Opponent,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_REB_PCT,personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
22023,202695,22300646,"JAN 27, 2024",LAC @ BOS,W,29,10,15,0.667,3,5,0.6,3,3,1.0,1,6,7,2,2,2,2,1,26,27,1,LAC,@,BOS,1.6582039169948466,1.414019983320938,1.1917502170409295,1.7056777120599529,-0.6147937514793889,0.9819499523369136,202695,26.0,10.0,6.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11:08,58.4,0.0,4.0,6.0,2.0,2.0,2.0,2.0,14.0,0.143,0.0,5.0,0.0,22300646,1610612746,LA,Clippers,LAC,clippers,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,0.667,0.333,0.538,0.0,0.346,0.077,0.115,0.231,0.538,0.429,0.571,0.333,0.667,0.4,0.6,114.8,120.3,73.9,74.6,40.9,45.8,0.111,1.0,10.0,0.031,0.14,0.093,10.0,0.767,0.797,0.258,100.38,97.6,81.33,59.0,0.304,6,6,2,14,4,3,9,20,0,1,3,4.14,2.17,2,7,9,46,0,0,26,2,5,6,0.833,5,9,0.556,0.667,3,5,0.6,0.357,0.25,0.5,0.238,0.333,0.273,0.125,0.194,0.179,0.133,0.4,0.5,0.333,0.0,0.091,0.3,0.366
22023,202695,22300637,"JAN 26, 2024",LAC @ TOR,W,31,7,13,0.538,2,4,0.5,0,0,0.0,1,6,7,3,1,2,1,0,16,11,1,LAC,@,TOR,-0.8385640375427376,-0.0921988497839927,-0.4115011960186161,-0.3099503534735477,-0.2113353520710314,-0.0557271010132463,202695,16.0,7.0,5.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,2.0,2.0,0.0,2.0,11:26,62.0,0.0,14.0,6.0,4.0,3.0,1.0,6.0,10.0,0.6,2.0,4.0,0.5,22300637,1610612746,LA,Clippers,LAC,clippers,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,0.692,0.308,0.625,0.375,0.375,0.125,0.0,0.25,0.25,0.4,0.6,1.0,0.0,0.571,0.429,112.2,118.8,102.1,101.6,10.1,17.2,0.13,3.0,17.6,0.029,0.167,0.1,5.9,0.615,0.615,0.187,103.37,100.72,83.93,64.0,0.139,4,0,2,4,9,10,11,34,0,0,0,4.31,2.35,4,6,10,42,0,0,27,3,1,3,0.333,6,10,0.6,0.538,2,2,1.0,0.233,0.203,0.4,0.2,0.0,0.0,0.143,0.231,0.212,0.158,0.2,0.333,0.333,0.0,0.0,0.0,0.211
22023,202695,22300618,"JAN 23, 2024",LAC vs. LAL,W,38,11,16,0.688,0,1,0.0,3,3,1.0,2,9,11,10,2,1,2,0,25,15,1,LAC,vs.,LAL,-0.0571794454136158,-0.4482142103360666,0.0694742278992475,-0.2719196352559344,0.9990398461540408,-0.4592681773160864,202695,25.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,14:52,76.0,0.0,13.0,9.0,5.0,2.0,2.0,6.0,12.0,0.5,1.0,3.0,0.333,22300618,1610612746,LA,Clippers,LAC,clippers,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,0.938,0.063,0.88,0.16,0.0,0.0,0.12,0.0,0.72,0.545,0.455,0.0,0.0,0.545,0.455,126.8,129.9,105.6,109.0,21.2,20.9,0.345,5.0,34.5,0.065,0.2,0.145,6.9,0.688,0.722,0.224,100.41,97.68,81.4,77.0,0.231,0,0,0,18,17,18,16,44,1,0,5,4.17,2.85,4,14,17,66,1,0,45,10,4,6,0.667,7,10,0.7,0.687,6,7,0.857,0.275,0.232,0.0,0.048,0.375,0.273,0.333,0.346,0.344,0.4,0.182,0.4,0.25,0.167,0.0,0.385,0.25
22023,202695,22300600,"JAN 21, 2024",LAC vs. BKN,W,37,6,15,0.4,2,3,0.667,7,8,0.875,1,3,4,4,0,1,2,2,21,15,1,LAC,vs.,BKN,-0.5272311141162908,-0.1195846467495393,-0.2191110264514724,-0.2148735579295146,-0.6724306656805793,0.3478139752895937,202695,21.0,7.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15:39,77.8,0.0,23.0,3.0,12.0,0.0,0.0,9.0,15.0,0.6,4.0,9.0,0.444,22300600,1610612746,LA,Clippers,LAC,clippers,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,0.8,0.2,0.381,0.0,0.286,0.286,0.333,0.286,0.381,0.25,0.75,0.5,0.5,0.333,0.667,126.4,125.0,102.8,104.9,23.6,20.1,0.143,2.0,16.0,0.028,0.071,0.051,8.0,0.467,0.567,0.247,105.6,105.05,87.54,80.0,0.082,6,2,6,8,3,7,9,38,0,2,4,4.21,2.79,4,9,13,47,0,1,25,4,3,5,0.6,3,10,0.3,0.4,4,5,0.8,0.176,0.217,0.182,0.136,0.333,0.348,0.167,0.094,0.105,0.19,0.333,0.0,0.25,0.0,0.154,0.308,0.21
22023,202695,22300568,"JAN 16, 2024",LAC vs. OKC,W,37,6,10,0.6,3,4,0.75,1,2,0.5,1,5,6,6,0,1,3,0,16,19,1,LAC,vs.,OKC,1.1087928756540582,1.2770909984932173,1.159685188779736,1.5535548391894998,0.4803076183432943,-1.2663503299217664,202695,16.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14:14,70.4,0.0,10.0,5.0,4.0,2.0,0.0,5.0,12.0,0.417,0.0,3.0,0.0,22300568,1610612746,LA,Clippers,LAC,clippers,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,0.6,0.4,0.375,0.25,0.563,0.063,0.063,0.188,0.125,0.667,0.333,1.0,0.0,0.833,0.167,146.2,151.4,120.8,120.8,25.5,30.6,0.182,2.0,30.0,0.036,0.147,0.097,15.0,0.75,0.735,0.176,94.51,92.86,77.38,70.0,0.106,3,5,1,2,9,14,7,24,0,0,1,3.98,2.6,1,9,10,52,1,1,35,6,3,4,0.75,3,6,0.5,0.599,1,4,0.25,0.154,0.156,0.176,0.129,0.091,0.118,0.143,0.25,0.222,0.207,0.375,0.0,0.111,0.0,0.0,0.067,0.151
22023,202695,22300553,"JAN 14, 2024",LAC @ MIN,L,37,9,19,0.474,2,3,0.667,6,6,1.0,0,9,9,4,2,0,1,4,26,-13,1,LAC,@,MIN,1.2369887853002417,-0.1743562406806246,2.0895710083542745,1.1162015796869478,-0.8453414082841587,1.0972474027091537,202695,26.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14:15,71.9,0.0,15.0,9.0,3.0,4.0,2.0,6.0,10.0,0.6,0.0,0.0,0.0,22300553,1610612746,LA,Clippers,LAC,clippers,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,0.842,0.158,0.538,0.0,0.231,0.154,0.231,0.269,0.538,0.714,0.286,1.0,0.0,0.778,0.222,105.8,106.7,122.6,124.0,-16.7,-17.3,0.222,4.0,14.8,0.0,0.321,0.132,3.7,0.526,0.601,0.285,97.12,96.17,80.14,75.0,0.165,7,0,4,14,11,9,8,36,2,4,7,4.24,2.87,4,9,11,72,1,0,45,4,2,7,0.286,7,12,0.583,0.473,3,4,0.75,0.333,0.292,0.154,0.1,0.462,0.4,0.0,0.45,0.36,0.19,0.111,0.25,0.0,0.667,0.235,0.412,0.325
22023,202695,22300537,"JAN 12, 2024",LAC @ MEM,W,29,10,16,0.625,2,5,0.4,0,0,0.0,0,7,7,4,2,2,1,3,22,11,1,LAC,@,MEM,-0.7103681278965535,-2.146133622199808,0.7749048496454486,-1.0325339996081988,-0.0960615236686424,-1.1510528795495265,202695,22.0,6.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11:14,59.0,0.0,12.0,7.0,4.0,3.0,2.0,5.0,14.0,0.357,1.0,5.0,0.2,22300537,1610612746,LA,Clippers,LAC,clippers,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,0.688,0.313,0.727,0.364,0.273,0.0,0.0,0.0,0.364,0.0,1.0,0.5,0.5,0.1,0.9,119.4,122.0,101.3,103.4,18.2,18.6,0.25,4.0,19.0,0.0,0.189,0.115,4.8,0.688,0.688,0.26,100.84,98.73,82.28,59.0,0.242,0,2,0,8,8,10,6,20,1,3,1,4.24,2.17,3,12,14,41,0,0,23,4,4,5,0.8,6,11,0.545,0.625,0,1,0.0,0.385,0.327,0.2,0.238,0.0,0.0,0.0,0.292,0.241,0.4,0.091,0.4,0.4,0.5,0.25,0.083,0.306
22023,202695,22300526,"JAN 10, 2024",LAC vs. TOR,W,38,10,18,0.556,2,4,0.5,7,7,1.0,2,1,3,7,1,2,0,3,29,-5,1,LAC,vs.,TOR,-0.8385640375427376,-0.0921988497839927,-0.4115011960186161,-0.3099503534735477,-0.2113353520710314,-0.0557271010132463,202695,29.0,6.0,3.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12:38,71.4,0.0,22.0,1.0,7.0,3.0,1.0,7.0,11.0,0.636,2.0,5.0,0.4,22300526,1610612746,LA,Clippers,LAC,clippers,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,0.778,0.222,0.552,0.207,0.207,0.069,0.241,0.0,0.345,0.625,0.375,1.0,0.0,0.7,0.3,134.8,132.4,136.2,139.2,-1.5,-6.8,0.259,0.0,25.0,0.057,0.038,0.049,0.0,0.611,0.688,0.254,94.3,94.09,78.41,74.0,0.141,0,3,2,10,2,10,15,48,0,3,6,4.0,2.7,2,2,4,63,1,0,42,7,3,7,0.429,7,11,0.636,0.556,5,5,1.0,0.27,0.25,0.182,0.16,0.538,0.538,0.2,0.059,0.111,0.269,0.0,0.2,0.667,0.0,0.214,0.4,0.296
22023,202695,22300511,"JAN 08, 2024",LAC vs. PHX,W,32,8,15,0.533,1,3,0.333,0,0,0.0,0,3,3,2,5,1,3,1,17,11,1,LAC,vs.,PHX,0.4556041931711199,0.5376744804235231,0.1015392561604366,0.4506640108787165,-0.6147937514793889,0.8666525019646737,202695,17.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,12:13,64.6,0.0,14.0,3.0,1.0,2.0,5.0,6.0,9.0,0.667,2.0,3.0,0.667,22300511,1610612746,LA,Clippers,LAC,clippers,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,0.8,0.2,0.824,0.235,0.176,0.118,0.0,0.118,0.588,0.429,0.571,0.0,1.0,0.375,0.625,129.1,129.9,114.3,115.2,14.8,14.7,0.071,0.67,10.0,0.0,0.107,0.056,15.0,0.567,0.567,0.236,99.02,98.37,81.97,67.0,0.11,2,2,2,10,16,4,16,30,0,1,2,4.05,2.32,4,3,6,51,0,0,31,2,3,7,0.429,5,8,0.625,0.533,2,3,0.667,0.222,0.246,0.125,0.143,0.0,0.0,0.0,0.13,0.094,0.1,0.273,0.556,0.333,0.0,0.071,0.182,0.195
22023,202695,22300505,"JAN 07, 2024",LAC @ LAL,L,35,6,17,0.353,2,7,0.286,1,2,0.5,0,8,8,2,3,2,3,4,15,4,1,LAC,@,LAL,-0.0571794454136158,-0.4482142103360666,0.0694742278992475,-0.2719196352559344,0.9990398461540408,-0.4592681773160864,202695,15.0,5.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,12:36,67.4,0.0,10.0,8.0,4.0,2.0,3.0,4.0,8.0,0.5,1.0,4.0,0.25,22300505,1610612746,LA,Clippers,LAC,clippers,Kawhi,Leonard,K. Leonard,kawhi-leonard,F,,,0.588,0.412,0.533,0.0,0.4,0.667,0.067,0.4,0.533,0.75,0.25,0.0,1.0,0.5,0.5,100.8,101.4,94.6,97.3,6.2,4.1,0.095,0.67,8.7,0.0,0.25,0.11,13.0,0.412,0.419,0.246,103.36,101.67,84.73,74.0,0.083,6,0,10,8,12,6,10,28,0,4,3,4.03,2.44,1,10,11,41,0,0,18,2,3,9,0.333,3,8,0.375,0.352,1,1,1.0,0.222,0.254,0.167,0.233,0.111,0.2,0.0,0.381,0.25,0.118,0.214,0.333,0.5,0.0,0.25,0.5,0.2
