SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Team,Location,Opponent,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_REB_PCT,personId,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,matchupMinutes,partialPossessions,switchesOn,oppPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocksAgainst,foulsPersonal,foulsDrawn,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints
22023,1629677,22300628,"JAN 25, 2024",UTA @ WAS,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,UTA,@,WAS,-1.851922180460192,-0.8863869617847762,-1.3734520438543436,-1.412841181784331,2.094141215976716,-2.8805146351331232,1629677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22300628,1610612762,Utah,Jazz,UTA,jazz,Luka,Samanic,L. Samanic,luka-samanic,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,100.0,-150.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.46,123.08,102.56,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.89,0.08,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22023,1629677,22300616,"JAN 23, 2024",UTA @ NOP,L,5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,UTA,@,NOP,0.3274082835249365,0.6198318713201548,0.5825146800783004,0.7739251157284288,-0.2689722662722218,0.5207601508479537,1629677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:58,11.7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22300616,1610612762,Utah,Jazz,UTA,jazz,Luka,Samanic,L. Samanic,luka-samanic,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,133.3,158.3,158.3,-29.3,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,121.58,119.58,99.65,12.0,-0.027,0,0,0,0,0,9,2,4,0,0,0,4.73,0.42,0,0,0,2,0,0,1,0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22023,1629677,22300564,"JAN 15, 2024",UTA vs. IND,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,7,1,UTA,vs.,IND,0.3884539547850235,1.4687915772520277,-1.3093219873319608,0.2224797015730373,2.0365043017755253,-0.4592681773160864,1629677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:01,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22300564,1610612762,Utah,Jazz,UTA,jazz,Luka,Samanic,L. Samanic,luka-samanic,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.9,157.1,68.0,57.1,91.9,100.0,0.0,0.0,0.0,0.0,0.2,0.143,0.0,0.0,0.0,0.0,109.37,120.0,100.0,7.0,0.0,0,0,0,0,0,0,0,2,0,1,0,4.07,0.21,0,2,2,1,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22023,1629677,22300540,"JAN 12, 2024",UTA vs. TOR,W,6,1,2,0.5,0,0,0.0,2,2,1.0,0,1,1,0,0,0,1,2,4,13,1,UTA,vs.,TOR,-0.8385640375427376,-0.0921988497839927,-0.4115011960186161,-0.3099503534735477,-0.2113353520710314,-0.0557271010132463,1629677,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:12,14.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22300540,1610612762,Utah,Jazz,UTA,jazz,Luka,Samanic,L. Samanic,luka-samanic,,,,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,181.7,166.7,83.3,85.7,98.4,81.0,0.0,0.0,0.0,0.0,0.143,0.083,25.0,0.5,0.694,0.239,121.77,125.41,104.5,15.0,0.032,0,0,0,2,0,0,0,4,0,2,1,4.81,0.5,0,1,1,9,0,0,5,0,0,1,0.0,1,1,1.0,0.5,0,0,0.0,0.111,0.143,0.0,0.0,0.5,0.5,0.0,0.2,0.125,0.0,1.0,0.0,0.0,0.0,0.333,0.5,0.16
22023,1629677,22300524,"JAN 10, 2024",UTA vs. DEN,W,3,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,1,0,0,0,0,1,-5,1,UTA,vs.,DEN,1.151524845536119,0.7019892622167867,0.2939294257275849,0.6598329610755892,-1.4217105502960954,0.8090037767785537,1629677,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:05,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22300524,1610612762,Utah,Jazz,UTA,jazz,Luka,Samanic,L. Samanic,luka-samanic,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,37.5,101.5,114.3,-57.9,-76.8,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.568,0.145,106.81,108.54,90.45,8.0,0.182,1,0,0,0,4,0,2,2,0,0,1,4.38,0.28,0,0,0,9,0,0,8,1,0,0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.333
22023,1629677,22300479,"JAN 05, 2024",UTA @ BOS,L,12,1,3,0.333,0,1,0.0,4,5,0.8,2,3,5,0,0,0,2,0,6,3,1,UTA,@,BOS,1.6582039169948466,1.414019983320938,1.1917502170409295,1.7056777120599529,-0.6147937514793889,0.9819499523369136,1629677,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5:53,26.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,22300479,1610612762,Utah,Jazz,UTA,jazz,Luka,Samanic,L. Samanic,luka-samanic,,,,0.667,0.333,0.333,0.0,0.0,0.0,0.667,0.5,0.333,0.0,1.0,0.0,0.0,0.0,1.0,81.0,81.5,66.1,70.4,14.9,11.1,0.0,0.0,0.0,0.1,0.158,0.128,28.6,0.333,0.577,0.205,111.84,108.0,90.0,27.0,0.217,3,3,0,2,2,4,2,10,0,0,3,4.3,0.93,3,6,9,16,0,0,10,0,1,2,0.5,0,1,0.0,0.333,1,1,1.0,0.143,0.13,0.0,0.167,0.5,0.357,0.286,0.214,0.238,0.0,0.4,0.0,0.0,0.0,0.0,0.333,0.273
22023,1629677,22300457,"JAN 01, 2024",UTA vs. DAL,W,4,1,4,0.25,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,1,1,UTA,vs.,DAL,0.3274082835249365,0.7293750591823333,-0.6680214221081425,0.1083875469201976,0.7108552751480723,-1.3816477802940064,1629677,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:31,6.9,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,22300457,1610612762,Utah,Jazz,UTA,jazz,Luka,Samanic,L. Samanic,luka-samanic,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,68.3,83.3,66.7,57.1,1.6,26.2,0.0,0.0,0.0,0.167,0.0,0.1,0.0,0.25,0.25,0.481,84.13,82.11,68.42,6.0,-0.067,0,2,0,2,0,0,0,4,0,0,0,3.56,0.25,1,0,1,4,0,0,0,0,0,3,0.0,1,1,1.0,0.25,1,1,1.0,1.0,0.571,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
22023,1629677,22300412,"DEC 26, 2023",UTA @ SAS,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,1,UTA,@,SAS,-1.7481445393180433,-1.43410290109566,-1.0207367329812451,-1.6029947728723968,1.40249824556239,-1.0357554291772864,1629677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:34,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22300412,1610612762,Utah,Jazz,UTA,jazz,Luka,Samanic,L. Samanic,luka-samanic,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.4,140.0,-143.4,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.15,112.5,93.75,5.0,0.0,0,0,0,0,2,0,2,2,0,0,0,4.13,0.17,0,0,0,3,0,0,3,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22023,1629677,22300374,"DEC 21, 2023",UTA @ DET,W,10,0,5,0.0,0,1,0.0,2,2,1.0,1,4,5,0,0,0,0,1,2,4,1,UTA,@,DET,-2.2548236107767705,-1.160244931440218,-1.5337771851602982,-1.7170869275252365,0.7684921893492627,0.1172190745451136,1629677,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4:11,19.9,0.0,5.0,4.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,22300374,1610612762,Utah,Jazz,UTA,jazz,Luka,Samanic,L. Samanic,luka-samanic,,,,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.8,100.0,77.5,80.0,23.3,20.0,0.0,0.0,0.0,0.077,0.308,0.192,0.0,0.0,0.17,0.232,97.48,96.32,80.27,20.0,0.03,0,0,0,0,3,2,1,4,0,1,1,4.58,0.81,1,5,6,18,0,0,12,0,0,4,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.294,0.0,0.5,0.2,0.182,0.167,0.4,0.313,0.0,0.0,0.0,0.0,0.0,0.2,0.143,0.1
22023,1629677,22300357,"DEC 18, 2023",UTA vs. BKN,W,2,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,1,5,-2,1,UTA,vs.,BKN,-0.5272311141162908,-0.1195846467495393,-0.2191110264514724,-0.2148735579295146,-0.6724306656805793,0.3478139752895937,1629677,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:52,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22300357,1610612762,Utah,Jazz,UTA,jazz,Luka,Samanic,L. Samanic,luka-samanic,,,,0.5,0.5,0.4,0.4,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,166.7,125.0,157.7,175.0,9.0,-50.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,1.25,1.25,0.667,87.82,94.43,78.69,4.0,0.435,0,0,0,0,0,2,0,4,0,1,0,3.92,0.15,1,1,1,4,0,0,2,0,2,2,1.0,0,0,0.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
