Game_Id,Player Name,Player Position,playerId,Opponent,Opponent Position,opponentId,Matchup Minutes,partialPossessions,Player Points,ppm,ppp,Team Points,team_ppm,team_ppp,Matchup Assists,matchupThreePointersAttempted,matchupThreePointersMade,matchupFreeThrowsAttempted,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalsPercentage,matchupFreeThrowsMade,shootingFouls,Player Height,Player Weight,Opponent Height,Opponent Weight,heightDiff,weightDiff,Avg Min,POSS_FGA
0022300674,DeMar DeRozan,Guard-Forward,201942,Cody Martin,Forward,1628998,0.92,6.1,1,1.09,0.16,4,4.35,0.66,0,0,0,2,0,1,0.0,1,0,198.12,220.0,198.12,205.0,0.0,15.0,37.43,6.1
0022300674,Alex Caruso,Guard,1627936,Cody Martin,Forward,1628998,0.77,4.5,2,2.6,0.44,2,2.6,0.44,0,0,0,0,1,1,1.0,0,0,195.58,186.0,198.12,205.0,-2.54,-19.0,26.4,4.5
0022300674,Nikola Vucevic,Center,202696,Cody Martin,Forward,1628998,1.77,8.6,5,2.82,0.58,19,10.73,2.21,2,0,0,2,2,3,0.667,1,1,208.28,260.0,198.12,205.0,10.16,55.0,33.91,2.87
0022300674,Ayo Dosunmu,Guard,1630245,Cody Martin,Forward,1628998,1.2,5.7,2,1.67,0.35,4,3.33,0.7,0,0,0,0,1,1,1.0,0,0,195.58,200.0,198.12,205.0,-2.54,-5.0,24.32,5.7
0022300674,Coby White,Guard,1629632,Cody Martin,Forward,1628998,5.85,29.5,8,1.37,0.27,35,5.98,1.19,3,2,0,2,3,5,0.6,2,0,195.58,195.0,198.12,205.0,-2.54,-10.0,36.02,5.9
0022300674,Terry Taylor,Forward,1630678,Cody Martin,Forward,1628998,0.15,0.5,0,0.0,0.0,2,13.33,4.0,0,0,0,0,0,0,0.0,0,0,193.04,230.0,198.12,205.0,-5.08,25.0,7.53,
0022300674,Julian Phillips,Forward,1641763,Cody Martin,Forward,1628998,0.23,0.9,0,0.0,0.0,2,8.7,2.22,0,0,0,0,0,0,0.0,0,0,203.2,198.0,198.12,205.0,5.08,-7.0,6.12,
0022300674,Jevon Carter,Guard,1628975,Cody Martin,Forward,1628998,0.2,0.7,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,185.42,200.0,198.12,205.0,-12.7,-5.0,13.72,
0022300674,Andre Drummond,Center,203083,Cody Martin,Forward,1628998,0.08,0.6,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,210.82,279.0,198.12,205.0,12.7,74.0,15.82,
0022300390,Michael Porter Jr,Forward,1629008,Cody Martin,Forward,1628998,1.3,5.8,6,4.62,1.03,7,5.38,1.21,0,2,2,0,2,2,1.0,0,0,208.28,218.0,198.12,205.0,10.16,13.0,31.55,2.9
0022300390,Aaron Gordon,Forward,203932,Cody Martin,Forward,1628998,0.15,0.6,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,203.2,235.0,198.12,205.0,5.08,30.0,32.02,
0022300390,Nikola Jokic,Center,203999,Cody Martin,Forward,1628998,0.25,1.4,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,210.82,284.0,198.12,205.0,12.7,79.0,33.66,
0022300390,Kentavious Caldwell-Pope,Guard,203484,Cody Martin,Forward,1628998,0.82,4.1,0,0.0,0.0,5,6.1,1.22,1,0,0,0,0,0,0.0,0,0,195.58,204.0,198.12,205.0,-2.54,-1.0,32.38,
0022300390,Jamal Murray,Guard,1627750,Cody Martin,Forward,1628998,2.18,11.5,2,0.92,0.17,12,5.5,1.04,1,0,0,0,1,2,0.5,0,0,193.04,215.0,198.12,205.0,-5.08,10.0,31.8,5.75
0022300390,Reggie Jackson,Guard,202704,Cody Martin,Forward,1628998,0.58,2.9,0,0.0,0.0,2,3.45,0.69,0,0,0,0,0,1,0.0,0,0,187.96,208.0,198.12,205.0,-10.16,3.0,23.14,2.9
0022300390,Christian Braun,Guard,1631128,Cody Martin,Forward,1628998,0.42,2.2,0,0.0,0.0,5,11.9,2.27,1,0,0,0,0,0,0.0,0,0,198.12,220.0,198.12,205.0,0.0,15.0,18.9,
0022300390,Peyton Watson,Guard,1631212,Cody Martin,Forward,1628998,0.37,1.2,0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,1,0.0,0,0,200.66,200.0,198.12,205.0,2.54,-5.0,17.83,1.2
0022300390,Julian Strawther,Guard,1631124,Cody Martin,Forward,1628998,0.73,4.4,3,4.11,0.68,3,4.11,0.68,0,1,1,0,1,1,1.0,0,0,198.12,205.0,198.12,205.0,0.0,0.0,13.91,4.4
0022300390,Zeke Nnaji,Forward-Center,1630192,Cody Martin,Forward,1628998,0.38,1.9,0,0.0,0.0,3,7.89,1.58,0,0,0,0,0,0,0.0,0,0,205.74,240.0,198.12,205.0,7.62,35.0,9.38,
0022300414,Amir Coffey,Guard-Forward,1629599,Cody Martin,Forward,1628998,0.25,2.9,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,200.66,210.0,198.12,205.0,2.54,5.0,16.59,
0022300414,Paul George,Forward,202331,Cody Martin,Forward,1628998,0.63,3.6,0,0.0,0.0,7,11.11,1.94,0,1,0,0,0,1,0.0,0,0,203.2,220.0,198.12,205.0,5.08,15.0,34.05,3.6
0022300414,Ivica Zubac,Center,1627826,Cody Martin,Forward,1628998,0.58,2.7,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,213.36,240.0,198.12,205.0,15.24,35.0,27.05,
0022300414,Terance Mann,Guard-Forward,1629611,Cody Martin,Forward,1628998,0.77,4.2,0,0.0,0.0,5,6.49,1.19,0,1,0,0,0,1,0.0,0,0,195.58,215.0,198.12,205.0,-2.54,10.0,25.18,4.2
0022300414,James Harden,Guard,201935,Cody Martin,Forward,1628998,4.42,23.3,7,1.58,0.3,30,6.79,1.29,3,2,2,1,2,2,1.0,1,1,195.58,220.0,198.12,205.0,-2.54,15.0,34.15,11.65
0022300414,Russell Westbrook,Guard,201566,Cody Martin,Forward,1628998,1.38,6.9,0,0.0,0.0,6,4.35,0.87,0,0,0,0,0,1,0.0,0,0,193.04,200.0,198.12,205.0,-5.08,-5.0,22.91,6.9
