Game_Id,Player Name,Player Position,playerId,Opponent,Opponent Position,opponentId,Matchup Minutes,partialPossessions,Player Points,ppm,ppp,Team Points,team_ppm,team_ppp,Matchup Assists,matchupThreePointersAttempted,matchupThreePointersMade,matchupFreeThrowsAttempted,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalsPercentage,matchupFreeThrowsMade,shootingFouls,Player Height,Player Weight,Opponent Height,Opponent Weight,heightDiff,weightDiff,Avg Min,POSS_FGA
0022300673,Andrew Wiggins,Forward,203952,Patrick Beverley,Guard,201976,0.9,7.8,2,2.22,0.26,12,13.33,1.54,1,0,0,2,0,1,0.0,2,1,200.66,197.0,187.96,180.0,12.7,17.0,27.18,7.8
0022300673,Jonathan Kuminga,Forward,1630228,Patrick Beverley,Guard,201976,0.32,4.5,1,3.12,0.22,1,3.12,0.22,0,0,0,2,0,1,0.0,1,1,200.66,225.0,187.96,180.0,12.7,45.0,24.35,4.5
0022300673,Draymond Green,Forward,203110,Patrick Beverley,Guard,201976,0.73,3.7,0,0.0,0.0,8,10.96,2.16,1,1,0,0,0,1,0.0,0,0,198.12,230.0,187.96,180.0,10.16,50.0,26.55,3.7
0022300673,Brandin Podziemski,Guard,1641764,Patrick Beverley,Guard,201976,4.83,30.9,2,0.41,0.06,31,6.42,1.0,1,2,0,1,1,5,0.2,0,1,193.04,205.0,187.96,180.0,5.08,25.0,24.89,6.18
0022300673,Stephen Curry,Guard,201939,Patrick Beverley,Guard,201976,0.4,2.7,3,7.5,1.11,5,12.5,1.85,1,1,1,0,1,1,1.0,0,0,187.96,185.0,187.96,180.0,0.0,5.0,33.49,2.7
0022300673,Kevon Looney,Forward,1626172,Patrick Beverley,Guard,201976,0.43,3.5,0,0.0,0.0,4,9.3,1.14,0,0,0,0,0,1,0.0,0,0,205.74,222.0,187.96,180.0,17.78,42.0,19.5,3.5
0022300673,Dario Saric,Forward-Center,203967,Patrick Beverley,Guard,201976,0.72,3.2,0,0.0,0.0,5,6.94,1.56,1,0,0,0,0,0,0.0,0,0,208.28,225.0,187.96,180.0,20.32,45.0,20.43,
0022300673,Trayce Jackson-Davis,Forward,1631218,Patrick Beverley,Guard,201976,0.25,1.1,2,8.0,1.82,5,20.0,4.55,0,0,0,0,1,2,0.5,0,0,205.74,245.0,187.96,180.0,17.78,65.0,14.21,0.55
0022300673,Lester Quinones,Guard,1631311,Patrick Beverley,Guard,201976,0.35,1.4,0,0.0,0.0,0,0.0,0.0,0,1,0,0,0,1,0.0,0,0,193.04,208.0,187.96,180.0,5.08,28.0,6.9,1.4
0022301208,Deni Avdija,Forward,1630166,Patrick Beverley,Guard,201976,0.62,3.8,4,6.45,1.05,4,6.45,1.05,0,0,0,0,2,2,1.0,0,0,205.74,210.0,187.96,180.0,17.78,30.0,27.38,1.9
0022301208,Kyle Kuzma,Forward,1628398,Patrick Beverley,Guard,201976,0.75,4.1,2,2.67,0.49,7,9.33,1.71,0,0,0,0,1,1,1.0,0,0,205.74,221.0,187.96,180.0,17.78,41.0,31.34,4.1
