Game_Id,Player Name,Player Position,playerId,Opponent,Opponent Position,opponentId,Matchup Minutes,partialPossessions,Player Points,ppm,ppp,Team Points,team_ppm,team_ppp,Matchup Assists,matchupThreePointersAttempted,matchupThreePointersMade,matchupFreeThrowsAttempted,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalsPercentage,matchupFreeThrowsMade,shootingFouls,Player Height,Player Weight,Opponent Height,Opponent Weight,heightDiff,weightDiff,Avg Min,POSS_FGA
0022300673,Andrew Wiggins,Forward,203952,Ricky Council IV,Guard,1641741,0.08,0.3,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,200.66,197.0,198.12,207.0,2.54,-10.0,27.18,
0022300673,Jonathan Kuminga,Forward,1630228,Ricky Council IV,Guard,1641741,0.05,0.2,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,200.66,225.0,198.12,207.0,2.54,18.0,24.35,
0022300673,Draymond Green,Forward,203110,Ricky Council IV,Guard,1641741,0.57,2.1,0,0.0,0.0,4,7.02,1.9,0,0,0,0,0,0,0.0,0,0,198.12,230.0,198.12,207.0,0.0,23.0,26.55,
0022300673,Brandin Podziemski,Guard,1641764,Ricky Council IV,Guard,1641741,0.2,0.4,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,193.04,205.0,198.12,207.0,-5.08,-2.0,24.89,
0022300459,Terry Taylor,Forward,1630678,Ricky Council IV,Guard,1641741,0.52,2.5,0,0.0,0.0,4,7.69,1.6,0,1,0,0,0,1,0.0,0,0,193.04,230.0,198.12,207.0,-5.08,23.0,7.53,2.5
0022300459,Jevon Carter,Guard,1628975,Ricky Council IV,Guard,1641741,0.53,3.0,0,0.0,0.0,2,3.77,0.67,0,1,0,0,0,2,0.0,0,0,185.42,200.0,198.12,207.0,-12.7,-7.0,13.72,1.5
0022300459,Dalen Terry,Forward,1631207,Ricky Council IV,Guard,1641741,0.25,0.9,0,0.0,0.0,2,8.0,2.22,0,0,0,0,0,0,0.0,0,0,200.66,195.0,198.12,207.0,2.54,-12.0,9.66,
0022300459,Julian Phillips,Forward,1641763,Ricky Council IV,Guard,1641741,0.67,4.6,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,203.2,198.0,198.12,207.0,5.08,-9.0,6.12,
0022300459,Adama Sanogo,Forward,1641766,Ricky Council IV,Guard,1641741,0.6,2.0,2,3.33,1.0,2,3.33,1.0,0,0,0,0,1,1,1.0,0,0,205.74,245.0,198.12,207.0,7.62,38.0,3.67,2.0
0022300585,Moritz Wagner,Forward-Center,1629021,Ricky Council IV,Guard,1641741,0.08,1.0,2,25.0,2.0,2,25.0,2.0,0,0,0,2,0,0,0.0,2,0,210.82,245.0,198.12,207.0,12.7,38.0,19.0,
0022300585,Trevelin Queen,Guard,1630243,Ricky Council IV,Guard,1641741,0.1,0.6,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,190.0,198.12,207.0,-2.54,-17.0,12.92,
0022300585,Kevon Harris,,1630284,Ricky Council IV,Guard,1641741,0.38,3.0,0,0.0,0.0,4,10.53,1.33,0,0,0,0,0,0,0.0,0,0,,,198.12,207.0,,,4.2,
0022300585,Jett Howard,Guard,1641724,Ricky Council IV,Guard,1641741,0.05,0.4,3,60.0,7.5,3,60.0,7.5,0,1,1,0,1,1,1.0,0,0,198.12,215.0,198.12,207.0,0.0,8.0,4.2,0.4
0022300593,Miles Bridges,Forward,1628970,Ricky Council IV,Guard,1641741,0.07,1.0,0,0.0,0.0,2,28.57,2.0,0,0,0,0,0,0,0.0,0,0,200.66,225.0,198.12,207.0,2.54,18.0,4.2,
