Game_Id,Player Name,Player Position,playerId,Opponent,Opponent Position,opponentId,Matchup Minutes,partialPossessions,Player Points,ppm,ppp,Team Points,team_ppm,team_ppp,Matchup Assists,matchupThreePointersAttempted,matchupThreePointersMade,matchupFreeThrowsAttempted,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalsPercentage,matchupFreeThrowsMade,shootingFouls,Player Height,Player Weight,Opponent Height,Opponent Weight,heightDiff,weightDiff,Avg Min,POSS_FGA
0022301217,Admiral Schofield,Forward,1629678,Kevin Knox II,Forward,1628995,0.13,0.9,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,241.0,200.66,215.0,-5.08,26.0,18.21,
0022301217,Admiral Schofield,Forward,1629678,Marcus Sasser,Guard,1631204,0.35,1.5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,241.0,187.96,195.0,7.62,46.0,15.49,
0022301217,Admiral Schofield,Forward,1629678,Ausar Thompson,Guard-Forward,1641709,0.23,1.7,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,241.0,198.12,205.0,-2.54,36.0,23.63,
0022301217,Admiral Schofield,Forward,1629678,James Wiseman,Center,1630164,0.67,4.7,2,2.99,0.43,6,8.96,1.28,0,0,0,0,1,2,0.5,0,0,195.58,241.0,210.82,240.0,-15.24,1.0,14.59,2.35
0022300038,Admiral Schofield,Forward,1629678,Gradey Dick,Guard-Forward,1641711,0.12,0.7,0,0.0,0.0,4,33.33,5.71,0,0,0,0,0,0,0.0,0,0,195.58,241.0,198.12,200.0,-2.54,41.0,13.44,
0022300038,Admiral Schofield,Forward,1629678,Jalen McDaniels,Forward,1629667,0.18,1.3,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,241.0,205.74,190.0,-10.16,51.0,8.82,
0022300038,Admiral Schofield,Forward,1629678,Otto Porter Jr,Forward,203490,0.32,2.1,0,0.0,0.0,3,9.38,1.43,0,0,0,0,0,0,0.0,0,0,195.58,241.0,203.2,230.0,-7.62,11.0,11.53,
0022300038,Admiral Schofield,Forward,1629678,Garrett Temple,Guard-Forward,202066,0.1,0.7,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,241.0,195.58,195.0,0.0,46.0,4.0,
0022300134,Admiral Schofield,Forward,1629678,Colin Castleton,Center,1630658,0.9,3.3,3,3.33,0.91,3,3.33,0.91,0,2,1,0,1,2,0.5,0,0,195.58,241.0,208.28,250.0,-12.7,-9.0,6.2,1.65
0022300134,Admiral Schofield,Forward,1629678,Max Christie,Guard,1631108,0.05,0.1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,241.0,195.58,190.0,0.0,51.0,16.89,
0022300134,Admiral Schofield,Forward,1629678,Alex Fudge,Forward,1641788,0.22,0.5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,241.0,203.2,200.0,-7.62,41.0,3.5,
0022300134,Admiral Schofield,Forward,1629678,D'Moi Hodge,Guard,1641793,0.08,0.3,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,241.0,190.5,188.0,5.08,53.0,5.71,
0022300134,Admiral Schofield,Forward,1629678,Maxwell Lewis,Forward,1641721,0.17,0.5,2,11.76,4.0,2,11.76,4.0,0,1,0,0,1,2,0.5,0,0,195.58,241.0,200.66,195.0,-5.08,46.0,3.93,0.25
0022300209,Admiral Schofield,Forward,1629678,Isaiah Jackson,Forward,1630543,1.27,7.3,0,0.0,0.0,5,3.94,0.68,0,0,0,2,0,0,0.0,0,1,195.58,241.0,205.74,205.0,-10.16,36.0,13.36,
0022300209,Admiral Schofield,Forward,1629678,Bennedict Mathurin,Guard-Forward,1631097,0.1,0.7,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,241.0,195.58,210.0,0.0,31.0,25.49,
0022300209,Admiral Schofield,Forward,1629678,Jordan Nwora,Forward,1629670,0.23,1.3,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,241.0,203.2,225.0,-7.62,16.0,10.71,
0022300209,Admiral Schofield,Forward,1629678,Ben Sheppard,Guard,1641767,0.13,0.5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,195.58,241.0,198.12,190.0,-2.54,51.0,10.32,
