Game_Id,Player Name,Player Position,playerId,Opponent,Opponent Position,opponentId,Matchup Minutes,partialPossessions,Player Points,ppm,ppp,Team Points,team_ppm,team_ppp,Matchup Assists,matchupThreePointersAttempted,matchupThreePointersMade,matchupFreeThrowsAttempted,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalsPercentage,matchupFreeThrowsMade,shootingFouls,Player Height,Player Weight,Opponent Height,Opponent Weight,heightDiff,weightDiff,Avg Min,POSS_FGA
0022301222,Cory Joseph,Guard,202709,Josh Giddey,Guard,1630581,1.92,8.5,0,0.0,0.0,9,4.69,1.06,0,1,0,0,0,1,0.0,0,0,187.96,200.0,203.2,216.0,-15.24,-16.0,24.89,8.5
0022301222,Cory Joseph,Guard,202709,Shai Gilgeous-Alexander,Guard,1628983,1.05,4.0,0,0.0,0.0,3,2.86,0.75,1,0,0,0,0,0,0.0,0,0,187.96,200.0,198.12,195.0,-10.16,5.0,34.22,
0022301222,Cory Joseph,Guard,202709,Chet Holmgren,Center-Forward,1631096,0.42,2.4,0,0.0,0.0,7,16.67,2.92,0,0,0,0,0,0,0.0,0,0,187.96,200.0,215.9,208.0,-27.94,-8.0,30.0,
0022301222,Cory Joseph,Guard,202709,Isaiah Joe,Guard,1630198,0.2,0.4,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,190.5,165.0,-2.54,35.0,18.85,
0022301222,Cory Joseph,Guard,202709,Cason Wallace,Guard,1641717,0.55,2.8,0,0.0,0.0,3,5.45,1.07,0,0,0,0,0,1,0.0,0,0,187.96,200.0,190.5,195.0,-2.54,5.0,21.15,2.8
0022301222,Cory Joseph,Guard,202709,Aaron Wiggins,Guard,1630598,0.68,3.3,2,2.94,0.61,3,4.41,0.91,0,0,0,0,1,1,1.0,0,0,187.96,200.0,195.58,190.0,-7.62,10.0,13.07,3.3
0022301222,Cory Joseph,Guard,202709,Jalen Williams,Guard-Forward,1631114,0.07,0.3,0,0.0,0.0,3,42.86,10.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,195.58,211.0,-7.62,-11.0,31.95,
0022301222,Cory Joseph,Guard,202709,Kenrich Williams,Guard-Forward,1629026,0.12,1.1,0,0.0,0.0,2,16.67,1.82,1,0,0,0,0,0,0.0,0,0,187.96,200.0,198.12,210.0,-10.16,-10.0,15.03,
0022300025,Cory Joseph,Guard,202709,Nickeil Alexander-Walker,Guard,1629638,1.22,5.8,3,2.46,0.52,13,10.66,2.24,0,1,1,0,1,1,1.0,0,0,187.96,200.0,195.58,205.0,-7.62,-5.0,22.8,5.8
0022300025,Cory Joseph,Guard,202709,Kyle Anderson,Forward-Guard,203937,0.28,2.3,0,0.0,0.0,2,7.14,0.87,0,1,0,0,0,1,0.0,0,0,187.96,200.0,205.74,230.0,-17.78,-30.0,22.37,2.3
0022300025,Cory Joseph,Guard,202709,Troy Brown Jr,Guard-Forward,1628972,0.77,3.5,0,0.0,0.0,5,6.49,1.43,1,0,0,0,0,1,0.0,0,0,187.96,200.0,200.66,215.0,-12.7,-15.0,11.56,3.5
0022300025,Cory Joseph,Guard,202709,Mike Conley,Guard,201144,0.15,0.5,0,0.0,0.0,2,13.33,4.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,182.88,175.0,5.08,25.0,29.19,
0022300025,Cory Joseph,Guard,202709,Anthony Edwards,Guard,1630162,0.72,2.9,0,0.0,0.0,5,6.94,1.72,0,0,0,0,0,0,0.0,0,0,187.96,200.0,193.04,225.0,-5.08,-25.0,34.93,
0022300025,Cory Joseph,Guard,202709,Rudy Gobert,Center,203497,0.05,1.0,0,0.0,0.0,3,60.0,3.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,215.9,258.0,-27.94,-58.0,33.09,
0022300025,Cory Joseph,Guard,202709,Shake Milton,Guard-Forward,1629003,1.88,8.4,3,1.6,0.36,10,5.32,1.19,2,1,1,0,1,3,0.333,0,0,187.96,200.0,195.58,205.0,-7.62,-5.0,13.36,2.8
0022300025,Cory Joseph,Guard,202709,Naz Reid,Center-Forward,1629675,0.12,0.5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,205.74,264.0,-17.78,-64.0,22.37,
0022300025,Cory Joseph,Guard,202709,Karl-Anthony Towns,Center-Forward,1626157,0.27,0.7,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,213.36,248.0,-25.4,-48.0,33.13,
0022300060,Cory Joseph,Guard,202709,Harrison Barnes,Forward,203084,0.18,1.4,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,203.2,225.0,-15.24,-25.0,29.59,
0022300060,Cory Joseph,Guard,202709,Kessler Edwards,Forward,1630556,0.03,0.2,0,0.0,0.0,3,100.0,15.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,200.66,203.0,-12.7,-3.0,4.77,
0022300060,Cory Joseph,Guard,202709,De'Aaron Fox,Guard,1628368,0.65,3.8,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0,0.0,0,0,187.96,200.0,190.5,185.0,-2.54,15.0,35.63,
0022300060,Cory Joseph,Guard,202709,Kevin Huerter,Guard-Forward,1628989,0.17,0.7,2,11.76,2.86,2,11.76,2.86,0,0,0,0,1,1,1.0,0,0,187.96,200.0,200.66,198.0,-12.7,2.0,24.31,0.7
0022300060,Cory Joseph,Guard,202709,Trey Lyles,Forward,1626168,0.05,0.3,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,205.74,234.0,-17.78,-34.0,20.0,
0022300060,Cory Joseph,Guard,202709,JaVale McGee,Center-Forward,201580,0.18,0.8,0,0.0,0.0,2,11.11,2.5,0,0,0,0,0,0,0.0,0,0,187.96,200.0,213.36,270.0,-25.4,-70.0,8.24,
0022300060,Cory Joseph,Guard,202709,Davion Mitchell,Guard,1630558,0.33,1.7,0,0.0,0.0,2,6.06,1.18,0,0,0,0,0,0,0.0,0,0,187.96,200.0,182.88,202.0,5.08,-2.0,12.44,
0022300060,Cory Joseph,Guard,202709,Malik Monk,Guard,1628370,1.88,10.3,0,0.0,0.0,10,5.32,0.97,2,0,0,0,0,1,0.0,0,0,187.96,200.0,190.5,200.0,-2.54,0.0,25.81,10.3
0022300060,Cory Joseph,Guard,202709,Domantas Sabonis,Forward-Center,1627734,0.02,0.2,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,208.28,240.0,-20.32,-40.0,35.32,
0022300062,Cory Joseph,Guard,202709,Devin Booker,Guard,1626164,0.88,4.4,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,198.12,206.0,-10.16,-6.0,36.11,
0022300062,Cory Joseph,Guard,202709,Kevin Durant,Forward,201142,0.07,0.2,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,210.82,240.0,-22.86,-40.0,37.15,
0022300062,Cory Joseph,Guard,202709,Jordan Goodwin,Guard,1630692,0.1,0.3,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,193.04,200.0,-5.08,0.0,14.89,
0022300062,Cory Joseph,Guard,202709,Eric Gordon,Guard,201569,0.1,0.6,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,190.5,215.0,-2.54,-15.0,30.21,
0022300062,Cory Joseph,Guard,202709,Jusuf Nurkic,Center,203994,0.03,0.1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,213.36,290.0,-25.4,-90.0,27.4,
0022300062,Cory Joseph,Guard,202709,Josh Okogie,Guard,1629006,0.22,1.6,0,0.0,0.0,2,9.09,1.25,1,0,0,0,0,0,0.0,0,0,187.96,200.0,193.04,213.0,-5.08,-13.0,18.12,
0022300062,Cory Joseph,Guard,202709,Yuta Watanabe,Guard-Forward,1629139,0.08,0.5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,205.74,215.0,-17.78,-15.0,14.38,
0022300108,Cory Joseph,Guard,202709,Kaiser Gates,Forward,1629232,0.57,4.0,0,0.0,0.0,4,7.02,1.0,1,0,0,0,0,0,0.0,0,0,187.96,200.0,200.66,225.0,-12.7,-25.0,7.0,
0022300108,Cory Joseph,Guard,202709,Jordan Hawkins,Guard,1641722,0.23,1.4,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,195.58,190.0,-7.62,10.0,21.9,
0022300108,Cory Joseph,Guard,202709,Kira Lewis Jr,Guard,1630184,0.58,2.7,0,0.0,0.0,2,3.45,0.74,0,0,0,0,0,0,0.0,0,0,187.96,200.0,185.42,170.0,2.54,30.0,9.06,
0022300108,Cory Joseph,Guard,202709,Matt Ryan,Forward,1630346,0.35,0.8,0,0.0,0.0,2,5.71,2.5,0,1,0,0,0,1,0.0,0,0,187.96,200.0,198.12,215.0,-10.16,-15.0,23.0,0.8
0022300108,Cory Joseph,Guard,202709,Cody Zeller,Forward-Center,203469,0.02,0.1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,210.82,240.0,-22.86,-40.0,8.27,
0022300142,Cory Joseph,Guard,202709,Darius Garland,Guard,1629636,0.17,1.2,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,185.42,192.0,2.54,8.0,34.0,
0022300142,Cory Joseph,Guard,202709,Sam Merrill,Guard,1630241,0.08,0.4,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,193.04,205.0,-5.08,-5.0,16.68,
0022300142,Cory Joseph,Guard,202709,Donovan Mitchell,Guard,1628378,0.25,1.7,0,0.0,0.0,4,16.0,2.35,0,0,0,0,0,0,0.0,0,0,187.96,200.0,190.5,215.0,-2.54,-15.0,35.62,
0022300142,Cory Joseph,Guard,202709,Evan Mobley,Center,1630596,0.02,0.1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,210.82,215.0,-22.86,-15.0,33.52,
0022300142,Cory Joseph,Guard,202709,Max Strus,Guard-Forward,1629622,0.17,1.0,0,0.0,0.0,2,11.76,2.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,195.58,215.0,-7.62,-15.0,33.09,
0022300142,Cory Joseph,Guard,202709,Dean Wade,Forward-Center,1629731,0.07,0.5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,205.74,228.0,-17.78,-28.0,22.17,
0022300176,Cory Joseph,Guard,202709,Emoni Bates,Forward,1641734,0.22,1.4,3,13.64,2.14,3,13.64,2.14,0,1,1,0,1,1,1.0,0,0,187.96,200.0,203.2,170.0,-15.24,30.0,7.8,1.4
0022300176,Cory Joseph,Guard,202709,Darius Garland,Guard,1629636,0.12,0.7,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,185.42,192.0,2.54,8.0,34.0,
0022300176,Cory Joseph,Guard,202709,Caris LeVert,Guard,1627747,0.02,0.4,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,198.12,205.0,-10.16,-5.0,28.64,
0022300176,Cory Joseph,Guard,202709,Donovan Mitchell,Guard,1628378,0.15,1.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,190.5,215.0,-2.54,-15.0,35.62,
0022300176,Cory Joseph,Guard,202709,Evan Mobley,Center,1630596,0.05,0.3,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,210.82,215.0,-22.86,-15.0,33.52,
0022300176,Cory Joseph,Guard,202709,Georges Niang,Forward,1627777,0.03,0.6,0,0.0,0.0,3,100.0,5.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,200.66,230.0,-12.7,-30.0,22.28,
0022300176,Cory Joseph,Guard,202709,Craig Porter Jr,Guard,1641854,0.27,2.4,0,0.0,0.0,3,11.11,1.25,0,1,0,0,0,1,0.0,0,0,187.96,200.0,185.42,180.0,2.54,20.0,16.0,2.4
0022300176,Cory Joseph,Guard,202709,Tristan Thompson,Center-Forward,202684,0.08,1.3,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0,0.0,0,0,187.96,200.0,205.74,254.0,-17.78,-54.0,12.5,
0022300201,Cory Joseph,Guard,202709,Luguentz Dort,Guard,1629652,0.1,0.4,0,0.0,0.0,2,20.0,5.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,193.04,220.0,-5.08,-20.0,28.36,
0022300201,Cory Joseph,Guard,202709,Josh Giddey,Guard,1630581,0.67,3.1,0,0.0,0.0,5,7.46,1.61,0,0,0,0,0,0,0.0,0,0,187.96,200.0,203.2,216.0,-15.24,-16.0,24.89,
0022300201,Cory Joseph,Guard,202709,Shai Gilgeous-Alexander,Guard,1628983,0.78,3.2,0,0.0,0.0,6,7.69,1.88,0,0,0,0,0,1,0.0,0,0,187.96,200.0,198.12,195.0,-10.16,5.0,34.22,3.2
0022300201,Cory Joseph,Guard,202709,Chet Holmgren,Center-Forward,1631096,0.07,0.2,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,215.9,208.0,-27.94,-8.0,30.0,
0022300201,Cory Joseph,Guard,202709,Isaiah Joe,Guard,1630198,1.97,7.2,0,0.0,0.0,4,2.03,0.56,0,2,0,0,0,2,0.0,0,0,187.96,200.0,190.5,165.0,-2.54,35.0,18.85,3.6
0022300201,Cory Joseph,Guard,202709,Vasilije Micic,Guard,203995,1.88,8.9,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,190.5,188.0,-2.54,12.0,12.04,
0022300201,Cory Joseph,Guard,202709,Cason Wallace,Guard,1641717,1.58,7.7,0,0.0,0.0,8,5.06,1.04,1,1,0,0,0,1,0.0,0,0,187.96,200.0,190.5,195.0,-2.54,5.0,21.15,7.7
0022300201,Cory Joseph,Guard,202709,Aaron Wiggins,Guard,1630598,0.22,1.7,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,195.58,190.0,-7.62,10.0,13.07,
0022300201,Cory Joseph,Guard,202709,Jalen Williams,Guard-Forward,1631114,0.57,3.1,3,5.26,0.97,6,10.53,1.94,1,1,1,0,1,1,1.0,0,0,187.96,200.0,195.58,211.0,-7.62,-11.0,31.95,3.1
0022300201,Cory Joseph,Guard,202709,Kenrich Williams,Guard-Forward,1629026,0.45,2.2,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,198.12,210.0,-10.16,-10.0,15.03,
0022300236,Cory Joseph,Guard,202709,Grayson Allen,Guard,1628960,0.42,3.9,0,0.0,0.0,9,21.43,2.31,1,0,0,0,0,0,0.0,0,0,187.96,200.0,193.04,198.0,-5.08,2.0,33.51,
0022300236,Cory Joseph,Guard,202709,Keita Bates-Diop,Forward,1628966,0.62,3.4,0,0.0,0.0,4,6.45,1.18,0,1,0,0,0,1,0.0,0,0,187.96,200.0,203.2,229.0,-15.24,-29.0,16.0,3.4
0022300236,Cory Joseph,Guard,202709,Devin Booker,Guard,1626164,1.27,8.0,0,0.0,0.0,7,5.51,0.88,0,0,0,0,0,0,0.0,0,0,187.96,200.0,198.12,206.0,-10.16,-6.0,36.11,
0022300236,Cory Joseph,Guard,202709,Kevin Durant,Forward,201142,0.47,5.2,0,0.0,0.0,2,4.26,0.38,0,0,0,0,0,0,0.0,0,0,187.96,200.0,210.82,240.0,-22.86,-40.0,37.15,
0022300236,Cory Joseph,Guard,202709,Drew Eubanks,Forward-Center,1629234,0.02,0.1,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0,0.0,0,0,187.96,200.0,208.28,245.0,-20.32,-45.0,15.92,
0022300236,Cory Joseph,Guard,202709,Jordan Goodwin,Guard,1630692,0.23,0.9,2,8.7,2.22,2,8.7,2.22,0,0,0,0,1,1,1.0,0,0,187.96,200.0,193.04,200.0,-5.08,0.0,14.89,0.9
0022300236,Cory Joseph,Guard,202709,Eric Gordon,Guard,201569,0.22,0.9,0,0.0,0.0,4,18.18,4.44,0,0,0,0,0,0,0.0,0,0,187.96,200.0,190.5,215.0,-2.54,-15.0,30.21,
0022300236,Cory Joseph,Guard,202709,Nassir Little,Forward-Guard,1629642,0.15,1.2,0,0.0,0.0,3,20.0,2.5,0,0,0,0,0,0,0.0,0,0,187.96,200.0,198.12,220.0,-10.16,-20.0,13.89,
0022300236,Cory Joseph,Guard,202709,Chimezie Metu,Forward-Center,1629002,1.07,3.7,0,0.0,0.0,3,2.8,0.81,0,1,0,0,0,1,0.0,0,0,187.96,200.0,208.28,225.0,-20.32,-25.0,12.54,3.7
0022300236,Cory Joseph,Guard,202709,Jusuf Nurkic,Center,203994,0.25,1.5,0,0.0,0.0,2,8.0,1.33,1,0,0,0,0,0,0.0,0,0,187.96,200.0,213.36,290.0,-25.4,-90.0,27.4,
0022300236,Cory Joseph,Guard,202709,Josh Okogie,Guard,1629006,0.92,5.3,1,1.09,0.19,10,10.87,1.89,2,0,0,2,0,0,0.0,1,1,187.96,200.0,193.04,213.0,-5.08,-13.0,18.12,
0022300273,Cory Joseph,Guard,202709,Kobe Brown,Forward,1641738,0.07,0.5,0,0.0,0.0,3,42.86,6.0,1,0,0,0,0,0,0.0,0,0,187.96,200.0,200.66,250.0,-12.7,-50.0,9.59,
0022300273,Cory Joseph,Guard,202709,Paul George,Forward,202331,2.12,9.0,0,0.0,0.0,16,7.55,1.78,0,0,0,0,0,0,0.0,0,0,187.96,200.0,203.2,220.0,-15.24,-20.0,34.21,
0022300273,Cory Joseph,Guard,202709,James Harden,Guard,201935,1.42,7.0,0,0.0,0.0,6,4.23,0.86,0,0,0,0,0,0,0.0,0,0,187.96,200.0,195.58,220.0,-7.62,-20.0,34.05,
0022300273,Cory Joseph,Guard,202709,Bones Hyland,Guard,1630538,0.58,1.9,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,187.96,200.0,187.96,169.0,0.0,31.0,13.67,
0022300273,Cory Joseph,Guard,202709,Kawhi Leonard,Forward,202695,0.33,3.5,1,3.03,0.29,5,15.15,1.43,0,0,0,2,0,0,0.0,1,0,187.96,200.0,200.66,225.0,-12.7,-25.0,34.5,
0022300273,Cory Joseph,Guard,202709,Terance Mann,Guard-Forward,1629611,0.42,2.1,0,0.0,0.0,2,4.76,0.95,0,0,0,0,0,0,0.0,0,0,187.96,200.0,195.58,215.0,-7.62,-15.0,25.18,
0022300273,Cory Joseph,Guard,202709,Norman Powell,Guard,1626181,1.03,4.7,0,0.0,0.0,7,6.8,1.49,0,0,0,0,0,0,0.0,0,0,187.96,200.0,193.04,215.0,-5.08,-15.0,25.32,
0022300273,Cory Joseph,Guard,202709,Daniel Theis,Forward-Center,1628464,0.62,2.3,0,0.0,0.0,6,9.68,2.61,0,0,0,0,0,0,0.0,0,0,187.96,200.0,203.2,245.0,-15.24,-45.0,17.18,
