Game_Id,Player Name,Player Position,playerId,Opponent,Opponent Position,opponentId,Matchup Minutes,partialPossessions,Player Points,ppm,ppp,Team Points,team_ppm,team_ppp,Matchup Assists,matchupThreePointersAttempted,matchupThreePointersMade,matchupFreeThrowsAttempted,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalsPercentage,matchupFreeThrowsMade,shootingFouls,Player Height,Player Weight,Opponent Height,Opponent Weight,heightDiff,weightDiff,Avg Min,POSS_FGA
0022301210,Jeremy Sochan,Forward,1631110,Nickeil Alexander-Walker,Guard,1629638,0.6,3.3,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,3,0.0,0,0,203.2,230.0,195.58,205.0,7.62,25.0,22.8,1.1
0022301210,Jeremy Sochan,Forward,1631110,Kyle Anderson,Forward-Guard,203937,1.0,4.9,0,0.0,0.0,5,5.0,1.02,0,0,0,0,0,2,0.0,0,0,203.2,230.0,205.74,230.0,-2.54,0.0,22.37,2.45
0022301210,Jeremy Sochan,Forward,1631110,Troy Brown Jr,Guard-Forward,1628972,0.82,3.5,2,2.44,0.57,2,2.44,0.57,0,0,0,0,1,2,0.5,0,0,203.2,230.0,200.66,215.0,2.54,15.0,11.56,1.75
0022301210,Jeremy Sochan,Forward,1631110,Mike Conley,Guard,201144,0.4,2.6,0,0.0,0.0,5,12.5,1.92,0,0,0,0,0,0,0.0,0,0,203.2,230.0,182.88,175.0,20.32,55.0,29.19,
0022301210,Jeremy Sochan,Forward,1631110,Anthony Edwards,Guard,1630162,0.5,1.8,0,0.0,0.0,1,2.0,0.56,0,1,0,0,0,1,0.0,0,0,203.2,230.0,193.04,225.0,10.16,5.0,34.93,1.8
0022301210,Jeremy Sochan,Forward,1631110,Rudy Gobert,Center,203497,0.7,3.0,2,2.86,0.67,2,2.86,0.67,0,0,0,0,1,2,0.5,0,0,203.2,230.0,215.9,258.0,-12.7,-28.0,33.09,1.5
0022301210,Jeremy Sochan,Forward,1631110,Shake Milton,Guard-Forward,1629003,0.38,1.7,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,203.2,230.0,195.58,205.0,7.62,25.0,13.36,
0022301210,Jeremy Sochan,Forward,1631110,Naz Reid,Center-Forward,1629675,2.72,11.3,2,0.74,0.18,6,2.21,0.53,0,0,0,0,1,2,0.5,0,0,203.2,230.0,205.74,264.0,-2.54,-34.0,22.37,5.65
0022301210,Jeremy Sochan,Forward,1631110,Karl-Anthony Towns,Center-Forward,1626157,2.63,11.9,0,0.0,0.0,15,5.7,1.26,0,1,0,0,0,2,0.0,0,0,203.2,230.0,213.36,248.0,-10.16,-18.0,33.13,5.95
0022301223,Jeremy Sochan,Forward,1631110,Alex Caruso,Guard,1627936,0.2,1.9,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0,0.0,0,0,203.2,230.0,195.58,186.0,7.62,44.0,26.05,
0022301223,Jeremy Sochan,Forward,1631110,Torrey Craig,Forward,1628470,0.4,1.5,0,0.0,0.0,2,5.0,1.33,0,0,0,0,0,0,0.0,0,0,203.2,230.0,195.58,221.0,7.62,9.0,21.26,
0022301223,Jeremy Sochan,Forward,1631110,DeMar DeRozan,Guard-Forward,201942,8.07,37.6,2,0.25,0.05,39,4.83,1.04,3,2,0,0,1,4,0.25,0,0,203.2,230.0,198.12,220.0,5.08,10.0,37.31,9.4
0022301223,Jeremy Sochan,Forward,1631110,Ayo Dosunmu,Guard,1630245,0.42,2.3,0,0.0,0.0,8,19.05,3.48,0,0,0,0,0,0,0.0,0,0,203.2,230.0,195.58,200.0,7.62,30.0,23.67,
0022301223,Jeremy Sochan,Forward,1631110,Andre Drummond,Center,203083,0.27,1.1,0,0.0,0.0,2,7.41,1.82,0,0,0,0,0,0,0.0,0,0,203.2,230.0,210.82,279.0,-7.62,-49.0,15.87,
0022301223,Jeremy Sochan,Forward,1631110,Julian Phillips,Forward,1641763,0.1,0.6,0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0,0.0,0,0,203.2,230.0,203.2,198.0,0.0,32.0,5.3,
0022301223,Jeremy Sochan,Forward,1631110,Nikola Vucevic,Center,202696,0.52,3.7,2,3.85,0.54,9,17.31,2.43,0,0,0,0,1,1,1.0,0,0,203.2,230.0,208.28,260.0,-5.08,-30.0,33.88,3.7
0022301223,Jeremy Sochan,Forward,1631110,Coby White,Guard,1629632,1.03,5.1,0,0.0,0.0,5,4.85,0.98,0,0,0,0,0,1,0.0,0,0,203.2,230.0,195.58,195.0,7.62,35.0,35.89,5.1
0022301223,Jeremy Sochan,Forward,1631110,Patrick Williams,Forward,1630172,1.93,9.0,2,1.04,0.22,11,5.7,1.22,0,0,0,0,1,1,1.0,0,0,203.2,230.0,200.66,215.0,2.54,15.0,27.3,9.0
0022300013,Jeremy Sochan,Forward,1631110,Nickeil Alexander-Walker,Guard,1629638,0.08,0.4,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,203.2,230.0,195.58,205.0,7.62,25.0,22.8,0.4
0022300013,Jeremy Sochan,Forward,1631110,Kyle Anderson,Forward-Guard,203937,0.88,4.4,2,2.27,0.45,9,10.23,2.05,1,0,0,0,1,1,1.0,0,0,203.2,230.0,205.74,230.0,-2.54,0.0,22.37,4.4
0022300013,Jeremy Sochan,Forward,1631110,Mike Conley,Guard,201144,2.42,14.6,5,2.07,0.34,22,9.09,1.51,2,0,0,2,2,4,0.5,1,1,203.2,230.0,182.88,175.0,20.32,55.0,29.19,3.65
0022300013,Jeremy Sochan,Forward,1631110,Anthony Edwards,Guard,1630162,3.07,15.7,0,0.0,0.0,12,3.91,0.76,2,0,0,0,0,0,0.0,0,0,203.2,230.0,193.04,225.0,10.16,5.0,34.93,
0022300013,Jeremy Sochan,Forward,1631110,Rudy Gobert,Center,203497,1.48,11.5,5,3.38,0.43,18,12.16,1.57,0,1,1,0,2,3,0.667,0,0,203.2,230.0,215.9,258.0,-12.7,-28.0,33.09,3.83
0022300013,Jeremy Sochan,Forward,1631110,Jaden McDaniels,Forward,1630183,0.83,4.4,0,0.0,0.0,6,7.23,1.36,1,0,0,0,0,1,0.0,0,0,203.2,230.0,205.74,185.0,-2.54,45.0,28.81,4.4
0022300013,Jeremy Sochan,Forward,1631110,Shake Milton,Guard-Forward,1629003,0.58,3.1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,203.2,230.0,195.58,205.0,7.62,25.0,13.36,
0022300013,Jeremy Sochan,Forward,1631110,Naz Reid,Center-Forward,1629675,0.67,4.9,0,0.0,0.0,3,4.48,0.61,0,0,0,0,0,1,0.0,0,0,203.2,230.0,205.74,264.0,-2.54,-34.0,22.37,4.9
